abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
lecture	vyAKyAna/vyAKyAna_xe/upaxeSa_xe/
left	bAzyA_modZa/bAzyA/vAma_xala/bAzyIM_ora/bacA/bAIM_ora/bAzyI_waraPa/
legend	xiggaja/AKyAna/
leg	caraNa/tAzga/KaxedA/maMjila/
lemon	nIMbU/halkA_pIlA_raMga_kA/nIMbU_kA_rasa/
lend	xe/praxAna_kara/uXAra_xe/
length	xUrI/caliwa_xUrI_ke_rUpa_meM/lakadZI/avaXi/lambAI/
lesson	pATa/SikRA/
less	kama/
lethal	prANa_GAwaka/GAwaka/
letter	leKana-prakriyA/pawra/Avexana_pawra/akRara/Kawa/
let	nirASa_kara/GatA/praveSa_karane_xe/mukwa_ho/golI_xAga/kama_ho/jAne_xe/nikalane_xe/aMxara_Ane_xe/kirAye_para_xe/anumawi_xe/mAna_le/parAswa/
level	samawala_ho/swara/niSAnA_lagA/sawaha/samawala_banA/UzcAI/samawala/naRta_kara/
lever	uwwolaka/uwwolaka_se_hatA/
levy	ugAhI/ugAha/
liable	jZimmexAra/xAyI/saMBAvanA/uwwearaxAyI/bAXya/
liberal	uxAravAxI/uxAra_vyakwi/
license	aXikAra_pawra/CUta/AjFa_xe/
lick	puwAI/cAta/gawi/cAtawe_hue/CU/
lie	letA_WA/xe/leta/nOsiKiyA/ArAma_kara/so/nirBara_ho/aviSeRajFa/JUTa/padA_ho/JUTa_bola/sWiwa_ho/sWiwa/letakara/ho/viXamAna/piCle/raha/nIce/avasWiwa/
life#live	jIvana/raha/
life	jIvanI/jIvana/jAna/jIvanakAla_waka/jIvana_kI_SuruAwa/jZiMxagI/
lift	uDAna_Bara/liPta/uTA/unnayana/sAPa_ho/curA/AhlAxiwa_kara/uTA_xe/Koxa/le_jA/upara_uTA/uwWApaka/
lightning	SIGrawama/wadiwa/
light	xiyA/p/acAnaka_mila_jA/bawwI/KuSI_se_camaka_uTa/jalA/jala/sigareta_jalA/prakASiwa_kara/prakASa/sulagA/halakA/prakaraNa/camaka/jalAnA/
lightweight	kama_vajana_kA/praBAvahIna/
like	sajAwIya/pasanxa/ke_lagaBaga/samAna_vicAra_vAlA/samAna/jEsA/pasaMxa_kara/EsA/
limber	krIdA-pUrva_vyAyAma_kara/lachilA/
limit	sImiwa_kara/sImAnwa/sImA/
limp	lacIlA/laMgadZA/kaTinAI_se_Age-baDa/A/DIlA/nirjIva/nisweja/SakwihIna/laMgadZI_cAla/
line	aswara/paMkwi_banA/ikatTA_kara/lAina/reKA_KIMca/JurrI/sImA/kRewra/rupa_reKA/vyavasAya/xiSA/uwpAxa/aswara_lagA/wAra/reKA/reKA_KaNda/rkSaA_reKA/
linkage	kadIZ/sambaMXa/sahalagZnawA/judZe_hone_kI_sWiwi/liMka_kA_sistama/kadI/
link	kadI/kadI_joda/jodaZnA/sambanXa/judaZ/joda/
lip	kinArA/hoMTa/
liquid	xrava/spaSta_pravahI/svacCa/nagaxa/
listen	corI-Cupe_suna/suna/AvAja_para_XyAna_xe/
list	sUcI/sUcIbaxXa_kara/Juka/
litter	kUdA-karakata/biKera/ganxA_ho_jA/pAlakI/eka_sAWa_janme_bacce/BarA_ho/ganxagI_PElAnA/
little	CotA/CotA/WodA/nahIM_ke_barAbara/
littoral	watIya/wata/
lively	PurwIlA/jIvanwa/sajIva/uwsAhapurNa/
live	jIviwa/kalaMka_xUra_kara/nirBara_raha/raha/sIXA_prasAraNa/vAswava/wAjA/jI/nivAsa/
living	jIviwa/AjIvikA/raha/
load	boJA/lAxa/vixyuwa_BAra/bahuwa/BAra/KUba_laxA_ho/loda_kara/Bara_xe/Bara/BarI_ho/boJa/raKa/xe/loda_ho/
loaf	pAvarotI/AvArAgarxI_kara/
loan	qNa/qNa_para_xe/
loathe	GqNA/GqNA_kara/nApasanxa_kara/
lobby	prawIkRA-kakRa/apane_pakRa_meM_janamawa_wEyAra_kara/
local	sWAnIya/sWAnIya_nivAsI/lokala/
locate	pawA_lagA/sWiwa_hE/sWAna_nirXAraNa_karanA/sWiwa/sWApiwa_kara/
location	sWiwi/sWAna/lokeSana/avasWiwi/
lock	xabaxabA/jAma_ho/banxa_kara/jela_meM_dAla/jela/cotI/wAlA/wAlA_lagA/
locomotive	saMcalanaSIla/iMjana/
lodge	asWAyI_nivAsa_sWAna/makAna/xarja_kara/Tahara/TaharA/raKa/
loft	atArI/uCAla/
log	katAI/wanA/vqkRa_kAta/sawrAraMBa_kara/
long	lAlasA/lambA_samaya/laMbA/samaya/lambe_samaya_waka/icCA_kara/aXika_laMbA/lambA/aXika/badZA/bahuwa/
looking	ko_xeKawe_hue/
look	lagawA_hE/xeKaBAla_kara/wiraskAra_kara/DUzDa/prawIkRA_kara/BeMta_kara/nirIkRaNa_kara/xarSaka_bana/sawarka_ho/XyAna_se_xeKa/anaxeKA_kara/viSleRaNa_kara/Axara_kara/suXAra_ho/ko_xeKa/rakRA_kara/KyAla_kara/xqRti/bAhara_xeKa/xiKa/xeKa/najZara/cAroM_ora_xeKa/piCe_mudakara_xeKa/xeKawe_ho/xeKakara/anaxeKA_kara_xe/rUpa/sazBAla/xiKanA/
loom	karaGA/aspaRta_CAyA_xIKa/prakata_ho/mazdarA_raha/
loop	lUpa/GumAvaxAra_vakra/PanxA_banA/
loosely	DIlA/mote_wOra_para/
loose	DIlA/KulA/meM/Kule_Coda/galawa/
loot	lUta/
lord	aXipawi/praBu/aXipawya_xiKA/
lose	hAra/vaMciwa_ho/Ko_xe/Ko_jA/kama_kara/kRayiwa/cala/naRta_ho/hArane_vAlA/Ko/
loss	nukasAna/mqwyu/kRoBa/kamI/hAni/
lost	KoyA_huA/lupwa/
lot	Dera/bahuwa_samaya/bahuwa_sArA/bahuwa/BAgya/
loudly	jZora_se/
lounge	loYMja/alasA/
love	pyAra_BarA/pyAra/pasanxa_kara/rUcI/cAha/
lower	kama/kama_kara/nIcA_kara/
low	maMxa/nIcA/bEla_kI_waraha_dakAranA_yA_bola/kama/ChotI/nimna/
lubricant	cikanA_karane_vAlI/cikanA_karane_vAlI_vaswu/
lucky	BAgyaSAlI/sOBagya/KuSakismawa/SuBa/
lull	sannAtA/SAMwa_kara/SAMwa_ho/
lumber	kATa_kabAdZa/BAra_xe/
lump	ekawriwa_kara/DelA/Dera_lagA/
lunatic	pAgala/
lunge	CalAzga/Age_kUxa/
lurch	JatakA_KA/JatakA/
lust	pasaMxa_A/kAmukawA/loBa_kara/
lynch	PAzsI_xe/
mad	uwwejiwa/gussA/bewukA/pAgala_ho_jA/pAgala/
maiden	pahalA/avivAhiwA/
mail	dAka/dAka_se_Beja/
maintain	mAna/raKa/banAye_raKa/kaha/BaraNa_poRaNa_kara/banA/
majority	bahumawa/aXikAMSa/vayaskawA/
major	muKya/pramuKa/
make	mahasUsa_karA/niSciwa_kara/sahI/bane_hue/kara/banAne_kI_prakriyA/kI_ora_jAnA/BAga_jA/hisAba_lagA/saPala_ho/BAzpa/xeKa/haswAMwaraNa/kRawipUrwI_kara/miwrawA_kara/ikatTA_kara/saMpUrNa_kara/sajjA_kara/kalpiwa_kara/hazsI_udZA/pahuzca/samBava_kara/sWAna_xe/dAla/xe/kamA/bAnA/anumAna_lagA/niScaya_kara/banA_le/le/banA/nahIM_CipA/BAzpa_le/ho/lagA/majabUra_kara/bawA/bana_jA/samaJa/PElA/lI/caDA/gaTana/
male	nara/puruRa/
malign	ahiwakara/baxanAma_kara/
malleable	AGAwa_varXanIya/AsAnI_se_praBAviwa_hone_vAlA/
mammoth	viSAla/mEmaWa/
manage	pA/saMBAla/saPala_ho/saMcAliwa/upAya_nikAla/saPala_raha/
mangle	kRawa_vikRawa/kRawa-vikRawa_kara/
manner	AcaraNa/wamIja/SiRtAcAra/aMxAjZa/warIkA/
manoeuvre	cAla/yukwicAla_cala/
man	AxamI/AxamI_kAma_para_ho/me_kAryakarwA/sAhasI/eka_sAWa/mAnava/meM_SAmila/XanI_vyakwi/vixvAna_vyakwi/pawi/
many	kiwanA/bahuwa_sA/bahuwa_sArA/bahuwa/p/bahuwa_sI/
map	yojanA_banA/mAnaciwra/
march	mArca/kUca_karanA/kUca_kara/praxarSana_kara/vyawiwa_ho/wejzI_se_A/cala/sIXI/praxarSana/
marginal	nyUnawama/hASiye_kA/
marker	mArkar_pEna/cihnaka/
market	bikrI/bAjAra/
mark	suspaRta/reKAMkiwa_kara/cunAva_kara/cihniwa_kara/aMka/niSAna/wOra_para/
maroon	gADA_BUrA_raMga/asahAya_CodZa/
marry	vivAhiwa/vivAha_kara/
marvel	AScarya/AScaryacakiwa_ho/
mask	muKotA_XArI/muKOtA_XArI/CipA/muKOtA/
massacre	hawyAkANda/kawle_Ama_kara/
mass	xravyamAna/parimANa/ekawra_kara/ekawra_ho/AXikya/janawA/samUha/
master	nipuNa/muKya/mAlika/mahArawa_hAsila_kara/SikRaka/kAbU_kara/mAhira/
match	mEca/samAnaswara/mela/mela_KA/mAcisa/jIvanasAWI/barAbarI/
material	paxArWa/xravya/vicAra/
materilly	gamBIra_rUpa_se/BOwika_xquRtI_se/
maternity	prasUwi/mAwqwva/
mate	subaha_kI_prArWanA/sAWI/saMBoga_kara/
matter	paxArWa/mAmalA/samasyA/bAwa/viRaya/xravya/vAswava_meM/mahawwvapUrNa_ho/
matt	catAI/niRpraBa/
may	SAyaxa/saMBava/maI/samBavawaH/
meaning	koI_arWa/
mean	arWa_hE/sAXana/arWa/pahuzcAne_kA_prayawna_kara/irAxA_ho/arWa_ho/mawalaba/mAXya/uxxeSya/Osawa/mahawva_raKa/parimANasvarupa/mAyane_raKa/kaMjUsa/nirxayI/maMJalA/maXyama/wAwparya_hE/kamInA/
measure	mApa/napA_wulA/Azkalana_kara/nApa/upAya/
meddle	haswakRepI/kAma_meM_haswakRepa_kara/
media	saMcAra_mAXyama/mAXyama/
medical	AyurvijFAna_saMbanXI/AyurvijFAna/
medicine	ORaXI/cikiwsA_paxXawi/
meditate	socA_samaJA/XyAna/XyAna_kara/
medium	mAXyama/maXyama/
meeting	mulAkAwa/mItiMga/bETaka/sammelana/
meet	saBA/mila/anuBava_kara/sparSa_kara/BugawAna_kara/pUrA_kara/sAmanA_kara/ho/pUrA_ho/
melancholy	uxAsI_kI_avasWA/gaharI_uxAsI/
melt	piGalA_huA/piGalawA_huA/piGalA/piGala/meM_XIre_XIre_lupwa_ho_jA/gAyaba_ho_jA/
memory	yAxaxASwa/yAxa/memorI/smqwi/
menace	darAvanA/kaRtakArI/joKima_meM_dAla/
mentally	mAnasika_rUpa_se/
mental	mAnasika/mAnasika/
mention	kaWiwa/ulleKa/ulleKa_kara/
mercury	buXa_graha/
mere	kevala/poKarA/
merit	yogya/yogyawA/
mesh	jAlI/jAla_meM_PazsA/jAla_meM_Pazsa/
mess	ulaJa/KZarAba_kara/gadZabadZI_kara/BojanAlaya/gadZabada_hAlwa/gadZabadZI/gaMxagI/pareSAna/Dera/bevakUPI_kara/GUma/CedaCAda_kara/pareSAna_kara/
meters	mItara/
mete	sajZA_xe/xe/Boga/
method	viXi/niyama/
metre	mItara/Canxa/
middle-class	maXyama_vargIya/maXyama_varga/
middle	maXya_SreNI_kA/bIca_kA/maXyasWala/maXya/
midway	bIca/bIcoMbIca/
might	bala/
mighty	balaSAlI/bahuwa/
mild	halkA/suhAvanA/sOmya/maMxa/narma/vinamra/WodA/mqxu/narama/
mile	mIla/kaI_mIla_xUra/
militant	AkrAmaka/ugravAxI/
military	sEnika/sEnika/
milk	xuhanA/xUXa/xuha/
million	xasa_lAKa/lAKoM/lAKoM_loga/miliyana/
mill	kAraKAnA/pIsa/
mime	nakala/nakala_kara/
mimic	nakalacI/nakala_kara/
mince	komala/CotA_CotA_kAta/
mind	ximAga_vAlA/ximAga/mana/Apawwi_kara/Apawwi_ho/banA/
mine	KAna/mEM/kA_vAlA/merA/suraMga/KAna_Koxa/
minimal	kama_se_kama/Cote_se_Cote/
minimum	kama_se_kama/nyUnawama/
minister	maMwrI/sevA_kara/
minor	gONa/nAbAliga/WodA/
mint	takasAla/pEse_banA/
minute	sUkRma/minata/wEyAra_kara/aBI/yaWArWawaH/
mire	kIcadZa/ataka/
mirror	prawibiMba/prawibiMba_kara/xarpaNa/
miscount	galawa_ginanA/galawa_gina/
miser	loBI/kaMjUsa/
mislead	galawaPahamI_pExA_karanevAlA/paWaBraRta_kara/
misplace	BatakI_ho/KoI_huI_cIja/galawa_jagaha_raKa/
misprint	galawa_CapanA/galawa_Capa/
misshapen	galawa_AkAra_vAlI/
missing	lApawA/KoyA_huA/gAyaba/
mission	lakRya/kArya/SiRtamaMdala/
misspell	galawa_varwanI/galawa_varwanI_vAlA/galawa_varwanI_liKa/
miss	KoyA_huA/cUka/hAWa_se_jAne_xe/kumArI/Ko_jA/cUka_jA/kamI_mahasUsa_kara/Coda/
mistake	galawa/galawI/galawa_samaJa/
mistrust	aviSvAsa/aviSvAsa_kara/
misunderstand	galawaPahamI/galawa_samaJa/
mitigate	gamBIrawA_kama_karane_vAlA/gamBIrawA_kama_kara/kama_kara/
mix	miSra/Brama/miSraNa/miSraNa_kara/mila_jula/miSriwa/
moan	karAha/Soka_kara/
mobile	Pona/mobAila/gawiSIla/calawA_PirawA/
mock	upahAsapUrNa/wiraskAra_kara/majAka_udZA/banAvatI/ciDZA/
model	namUnA/mAdela/wEyAra_kara/
moderate	Osawa/XImA_ho/
modify	suXAra/parivarwana_kara/
mohair	aMgorA_Una_kA/aMgorA_Una/
moisten	nama/nama_kara/
mold	SElI/
moment	isa_samaya/kuCa_pala/
monetary	Xana/pEse_se_saMbaMXiwa/
monitor	kakRAnAyaka/najZara_raKa/
monkey	haswakRepa_kara/baMxara/
monumental	AScaryajanaka/smArakIya/
mooch	binA_uxxeSya_ke_iXara_uXara_GUma/
mood	manoxaSA/mana/
moot	vivAxAspaxa/carcA_meM_lA/
more	se_jyAxA/Ora/aXika/Ora_BI_bahuwa_kuCa/awirikwa/viswAra/AMSika_rUpa_se/jyAxA/
mortal	marwya/
motion	iSArA_kara/gawi/vyApAra/iSArA/
motivate	aBipreriwa/preriwa_kara/
mould	gaDZawa/sAzcA/gaDZa/PaPUzxI/sanAwana/
mountaineer	parvawArohaNa/parvawArohI/
mount	ArohaNa/parvawa/
mourn	Soka/Soka_kara/
mouse	cUhA/mAusa/KojanA/
mouth	muzhavAlA/muzha/
movement	pravAha/AMxolana/AvAgamana/GumanA/calana/gawi/gawiviXi/
move	sWAnAMwariwa_kara/makAna_meM_Akara_rahane_laga/hatA/cala/Age_baDZa/sWAnAMwara_kara/praswAva_raKa/yAwrA_SurU_kara/viRaya_parivarwana_kara/purAnA_Gara_CodZa_xe/Kisaka/GUma/Age_baDza_jA/calawA_huA/jA/bIwa_raha/raKa/hrxaya_xraviwa/gawimAna/Age_kI_ora_cala/gawi_kara/GUma-Pira/pahuzca_jA/gamana_kara/gawi_karane_laga/xUra_jA/jAnA/hilA/baDZa/baxalAva_lA_raha/gawimAna_ho/kAryavAhI_kara/
moving	gawimAna/hqxaya_sparSI/
mow	katAI/aXika_saMKyA_meM_mAra/mAra_dAla/GAsa_kAta/
much	kiwanA/uwanA_aXika/kuCa/bahuwa/s/
muck	samaya_gazvA/gaMxA_kara/gaMxagI/
muddle	kisI_waraha_pAra_laga/Brama_meM_padZa/gadZabadZa/
mud	kIcadZa/kisI_waraha_saPala_ho/
mug	aXyayana_kara/pyAlA/
mull	para_vicAra_kara/mala/
multiple	kaI/bahu/bahuwa/
mum	mUkABInaya/SAMwa/
municipal	nagara/nagarIya/
murder	bigAdZa_xe/hawyA/mArA_jA/
murmur	Sabxa/svara/SikAyawa/SikAyawa_kara/sarasarA/badabadA/
muse	cinwana/_vicAra_kara/
muster	hAjZirI/ekawriwa_ho/ikaTTA_kara/
must	AvaSyaka/cAhiye/
mute	mOna/mUka/
mutineer	vixrohI/balavA_kara/
mutiny	gaxara/vixroha_kara/
mutter	badZabadZAhata/badZabadZA/
muzzle	WUWana/muzha_bAMXa/
myriad	bahuwa_sA/anaginawa_saMKyA/
mystic	gUDZa/rahasyavAxI/
my	mEM/kA/
nag	tattU/waMga_kara/
nail	pakada/lagA/baMxa_kara/kIla/nAKUna/kIla_jadZa/
name	jisakA_nAma_WA/nAmakaraNa_kara/nAma/nAmaka/nAma_xe/
nap	JapakI/JapakI_le/
narcotic	nIMxa_lAne_vAlI/nIMxa_lAne_vAlI_xavA/
nark	gussA/pulisa_ko_gupwa_bAweM_bawAne_vAlA/
narrative	varNaNAwmaka/varNaNAwmaka_kahAnI/
narrow	saMkIrNa/saMkIrNa_kara/saMkIrNa_bAnA/
nasal	nAsikA_saMbaMXI/AvAjZa_jo_nAka_se_nikale/
nasty	apriya/burI_waraha/
national	rARtrIya/nAgarika/
native	BARI/xeSI/mUla_nivAsI/
natural	prAkqwika/svABAvika/
nature	prakqwi/svaBAva/svarupa/prakAra/
nauseous	ultI_jEsA/GqNAjanaka/
naval	nOsEnika/nOsEnika_jahAja/
navigate	sahI_mArga_pakadZa/sahI_rAswA_pakadZa/
nay	nahIM/asvIkqwi/
nearby	pAsa_vAlA/pAsa_meM/nikata/
near	nikata/ke_pAsa/ke_nikata/nikata_pahuzca/AnevAlA/karIba/pAsa/karIba_pahuzca/pAsa_A/
neck	garaxana/gale_mila/
needle	suI/pareSAna_kara/pareSAna_ho/
need	AvaSyakawA/jZarUrawa/AvaSyakawA_ho/jarUrawa_ho/
negative	nakArAwmaka/nakAra/qNAveSa/
neglect	upekRiwa/upekRA/upekRA_kara/
neighbour	padZosI/
neigh	hinahinAhata/hinahinA/
neither	na_hI/koI_BI_nahIM/
nerve	nasa/Sakwi_praxAna_kara/
nervous	ASaMkiwa/GabarAyA_huA/
nestle	pakRI_kA_navajAwa_baccA/satakara_ArAma_se_lete_raha/
nest	GoMsalA/GoMsalA_banA/
nettle	bicCU_GAsa/ciDZA/
net	jAlI_banAnA/vAswavika/jAla/jAlI_me_PAzsa/neta/
network	netavarka/nEtavarkiMga/jAla/
neurotic	manovikRepa_saMbanXI/manovikRipwa/
neuter	napuMsaka/napuMsaka_banA/
neutral	watasWa/niRpakRa/uxAsIna/
news	samAcAra/
new	Kabara/nayA/nayA/
next	ke_pAsa/agalA/Age/isake_bAxa/usake_bAxa/
nibble	xilacaspI_xiKA/tukadZA/CotA_kOra_KA/
nice	acCA/
nickname	upanAma/upanAma_xe/
nick	KaroMca/Cexa_kara/
nicotine	wambAkU_kA/nikotIna/
nigh	lagaBaga/pAsa/
nineteen	unnIsa/
ninetieth	nabbevAz/nabbevAz_BAga/
nine	nO/
ninth	navAz/navAz_aMSa/
nip	cikotI/cikotI_kAta/kucala_dAla/
noble	kulIna/kulIna_manuRya/
nobody	koI_nahIM/kisI_ne_nahIM/
nod	so_jA/hAmI/sira_hilA/
nominative	karwA/karwAkAraka/
none	koI/BI/nahIM/
nonsense	bakavAsa/
noose	PanxA/PanxA_lagA/
normal	aBilambavawa/sAmAnya/
northeast	uwwara_pUrvI/uwwara_pUrva/
north	uwwarI/uwwara/
northward	uwwaronmuKa/uwwara_kI_ora/
nose	DZUzDZa/nAka/sUMGa/
notch	KAzcA/KAzcA_banA/
note	viKyAwa/liKa_xe/tippaNI/XyAna_se_xeKa/svara/XyAna_xe/vivaraNa/swara/nota/
nothing	kuCa_BI_nahI/kuCa_nahIM/
notice	sucanApawra/XyAna_xe/
not	nahIM/nA_ki/
no	nahIM/koI_BI_nahIM/koI_nahIM/kuCa_nahIM/
nourish	puRtikAraka/pAlana/
novel	navIna/upanyAsa/
now	aba/PalawaH/isa_samaya/
nude	naMgA/nagna/
nudge	tahokA/kuhanI_se_CU/
number	saMKyA/kiwanA/aMka/gina/nambara/sazKyA_meM_piCada/
numb	sunna/sunna_kara_xe/
nursery	bAla_kakRa/pOXA_Gara/bacce_kA_kamarA/
nurse	paricArikA/xUXa_pilAkara_bacce_ko_pAla/upacaryA_kara/
nurture	pAlana_poRaNa/puRta_banA/
obey	pAlana_kara/AjFApAlana_kara/anusAra_cala/
objective	uxxeSya/viRayaniRTa/aBixqSyaka/
object	vaswu/s/Apawwi_vyakwa_kara/uxxeSya/pawra/piNda/paxArWa/lakRya/
obligation	bAXya/ABArI/karwwavya/vacana/
oblige	maxaxa_ke_lie_wEyAra/upakqwa/maxaxa_karane_upakqwa_kara/majabUra_ho/ABArI/sahAyawA_kara/majabUra_kara/kqwajFa_ho/
oblique	wiryak/aprawyakRa/
oblong	AyAwa/AyawAkqwi/
obscure	ajaFAwa/XuzXalA/boJawma_kara_xe/xurUha/xInahIna/avixiwa/xurboXa/CipA_xe/
obscurity	aspaRtawA/aprasixXi/aMXerA/
observation	tippaNI/paryavekRaNa/
obstinate	xurAgrAhI/xuHsAXya/
obstruct	avaruxXa_kara/bAXA_dAla/
obtain	prApwa/prApwa_ho/jFAwa_kara/prApwa_kara/
obvious	spaRta_rUpa_se/prawyakRa/spaRta/
occasion	kAraNa/mOkA/bAra/avasara/nimiwwamAwra_ho/upalakRa/
occupation	/berojagAra/kabjA/vyavasAya/
occupy	vyaswa/raha/bETanA/Gera/lewA/kabje_meM/vyaswa_kara/sWiwa/vyawIwa_ho/GerA_jA/bETa/
occur	pAyA_jA/socA/kOnXA/ho/pAye_jA/Gatiwa_ho/
ochre	BagavA/
odds	samBAvanA/bAXA/
odd	ajIba/samBAvanA/viRama/bAXA/Binna_jodI/
offence	nArAja/baxalA/aparAXa/wiraskAra/
offend	viruxXa_jA/aprasanna_kara/
offensive	apamAnajanaka/
offering	caDAvA/praswAva/BeMta/
offer	BeMta/praswAva/peSakaSa_raKa/praswAva_xe/xe/praxAna_kara/visarjiwa_kara/arpiwa_kara/arpaNa_kara/lagA/praswuwa_kara/xiKA/praswAva_raKa/
official	AXikArika/aXikArI/
officiate	aMpAyariMga_kara/sWAnApanna_ho/kAma_kara/
offspring	pariNAma/saMwawi/
off	suxUra/se_xUra_hatakara/se_lage_hue/se_nikalI_huI/para_se/upalabXa_nahIM/jA_raha/uwAra/CUta/nahIM_milA/raxxa/banxa/CuttI/se/se_xUra/CuttI_para/
of	kI_vajaha_se/ke_bAhara/isa_kA_ki/ke_bAre_meM/kA/meM_se/se/para/ko/meM/ke/ke_lie/
ogle	katAkRa/XqRtawA_se_xeKa/
oil	wela/wela_lagA/
old	kA/purAnA/purAnI_SAKA/vqxXa/p/prAcIna/
omission	cUka/vilopa/
omit	BUla_jA/nikAla_xe/CodZa/
one	hara_eka/vAlA/p/s/eka/koI/koI_BI/ikkIsa/ikwIsa/ikwAlIsa/ikAvana/iksaTa/ikhawara/ikAsI/ikkAnnava/
only	akelA/ekamAwra/sirPa/hI/nA_kevala/kevala/
on	kA/meM/para/ko/ke_pAsa/lagAwAra/waba_se/ke_alAvA/ke_bala/se/ke_bAre_meM/
onward	baDZawe_hue/Age/
ooze	xalaxala/se_paripUrNa/risa/
opening	KulI_jagaha/uxGAtana/prAMraBika_BAga/
open	KulI_jagaha/Kola/Kula/KulA/AramBa_kara/KulA_huA/Kula_jA/Kola_xe/Kila/aOpin/Kula_kara_bola/SurU_ho/prAramBa_kara/pawA_lagA/
operate	calA/kAma_kara/Salya_kriyA_kara/paricAlana_kara/cala/sEnika_kAryavAhI_kara/lAgU_ho/sakriya/sakriya_ho/
operation	kArya_praNAlI/Salya_cikiwsA/aBiyAna/kAryavAhI/paricAlana/kA_kAma/kArya/kriyA_kalApa/cAlU_ho/pracAlana/
operative	kriyAwmaka/kArIgara/lAgU/gupwacara/
opinion	loga/mUlyAMkana/rAya/
opponent	prawikUla/prawipakRI/SAmane_vala/
opportunist	avasaravAxI/
oppose	viroXa_kara/viroXI/
opposite	viparIwa/xUsarI_ora/viroXI/ke_sAmane/xUsarI_waraPa/viparIwa_pahalU/sammuKa/viloma/samAna_eMva_viparIwa/
oppress	xamana_kara/pIdiwa/awyAcAra_kara/
optically	xqRtigawa_rUpa_se/pAraxarSI/
optical	xqRti/prAkASikI/prakASIya/prAkASika/
option	vikalpa/pasanxa/
orange	nAraMgI/
orbit	kakRa/
ordeal	agni_parIkRA/katu_anuBava/
orderly	suvyavasWiwa/suvyavasWiwa_rUpa_se/araxalI/
order	mazMgavA/AxeSa/anukrama/vyavasWA/krama/ordara/Ordara/koti/guNA/kAnUna_Ora_niyama/AxeSa_xe/AjFA/
ordinarily	Ama_wOra_para/sAXAraNa_DaMga_se/
ordinary	saba_ke_prayoga_kI_vaswu/sWAnIya_XarmAXyakRa/sAXAraNa/svABAvika/sAmAnya/
organic	kArbanika/iMxriya_sambanXI/shja/
organise	vyavasWiwa/saMgaTiwa/
organize	saMgaTiwa_kara/Ayojiwa_kara/suniyojiwa_banA/suvyavasWiwa_kara/yojanA_banA/prabaMXa_kara/suniyojiwa_kara/saMgatana_banA/
organ	inxriyAz/vAxya/muKapawra/aMga/
oriental	pUrvI/pUrvI/
orientation	anukUlana/xigvinyAsa/
original	mUla/mUla-prawi/mOlika/prAraMBika/
origin	uwpawwi/mUla/uxBava/
ornament	ABURaNa/viBURiwa_kara/
ostentatious	AdaMbarI/AdaMbarapUrNa/
other	ke_alAvA/viparIwa_mArga/xUsarA/anya/logoM/
o	oha!/o/kA/
ourselves	hama_svayaM/svayaM/hama_hI/
our	hamArA/apanA/
outbid	baDZakara_bolI_lagA/mAwa_xe/
outboard	bAharI/bota_ke_piCale_hisse_meM_lagA_iMjina/
outcast	bahiRkqwa/
outdoors	Gara_ke_bAhara/gAzva_kA_mAhOla/bAhara/
outdoor	bAharI/KulI_havA_meM/
outer	bAhya/bAhya/bAharI/
outfit	poSAka/saMsWAna/yanwra/vyavasWA_kara/
outgo	KuSamijZAja/Karca/
outlaw	viXibahiRkqwa/bahiRkqwa_kara/
outline	golIkqwa_kara/pattI/rUpareKA/rUpareKA_AreKiwa_kara/
outpost	xUra_kI_eka_baswI/cOkI/
output	uwpAxana/prakRepaNa_kara/
outrage	sawIwva/BMga_kara_xe/prakRoBa/prakRubXa_kara/
outside	bAhya/bAhara/ke_bAhara/
outspoken	spaRtvAxI/spaRta/
outstanding	bAkI/bakAyA/SreRTa/
outstretch	PElAyA_huA/PElA/
out	sEra/bAhara/ke_bAhara/bAhara_nikAla/Auta/nikAlA/berojagAra/
overact	awyaBinaya_kara/awi_kara_xe/
overall	sampUrNawayaH/prAvaraNa/
overcharge	aXika_mola_yA_aXika_xAma/aXika_xAma_lagA/
overcome	najaraaMxAja_kara_xe/xUra_kara/harA_xe/ke_vaSIBUwa_ho/kAbU_pA/aBiBUwa_ho/
overcrowd	BIdZa/BIdZa-BarA/
overdose	aXika_mAwrA/aXika_mAwrA_meM_xe/
overdraw	jyAxA_pEse_nikAla/se_jyAxA_pEse_nikAla/awiraMjanA_kara/
overestimate	jyAxA_xAma/jyAxA_xAma_lagA/
overflow	BidZa/bADZa/kinAre_se_baha_nikala/
overhaul	nirIkRaNa/nirIkRaNa_kara/
overhead	sira_ke_Upara_se_hone_vAlA/sira_ke_Upara/
overjoy	awiprasanna/awyaXika_prasanna_ho/
overlay	UparI_waha/BarA_huA/parawa_caDA_huA/eka_ke_Upara_eka_raKa/
overload	BArI_laxAna/bahuwa_lAxa/
overnight	rAwa_Bara_kA/rAwa_Bara/rAwoMrAwa/
overpopulation	awyaXika_AbAxI/
overpower	niyanwraNa_kA/niyanwraNa_kara/
overrule	raxxa_kara_xe/nirNaya_xe/
overrun	muzha_waka_Bara_jA/PEla_jA/BarA_huA/Age_baDa/PEla_gae/umadZa_AnA/
oversight	jimmexArI/galawI/
overtake	Age_nikala/Age_nikala_jA/
overthrow	paxa_se_hatA_xe/tUta/vinASa/ovar_Wro/harA_xe/
overtime	samayopari/nirxiRta_samaya_se_awirikwa_kAma/
