ecclesiastic commissioner	carca_kamiSnara
gross mistake	BArI_BUla
gross national debt	sakala_aula_rARtrIya_qNa
gross neglect	xora_upekRA
gross negligence	Gora_pramAxa
gross pay	sakala_vewana
gross private domestic investment	sakala_aula_nijI_xeSI_niveSa
gross proceeds	sakala_Agama
gross produce	sakala_aula_uwpAxa
gross profit margin	sakala_lABa_sImA
gross profit ratio	sakala_aula_lABa_anupAwa
gross profit	sakala_lABa
gross recoveries	sakala_aula_vasUliyAM
gross revenue	kula_rAjasva
gross sales	sakala_bikrI
gross savings	sakala_aula_bacawa
gross sum	sakala_aula_rASi
gross ton mile	sakala_aula_tana_mIla
gross tonnage	sakala_tanaBAra
gross total	sakala_yoga
gross value	kula_mUlya
gross weight	sakala_aula_BAra_aajZana
gross yield	sakala_aula_upaja
ground attack	mExAnI_hamalA
ground bait	wala_cArA
ground balance	prawyakRa_SeRa
ground bass	AXAra_maMxra
ground beetle	BU_BqMga
ground cable	jZamIna_kA_wAra
ground cedar	BUmi_xevaxAra
ground cherry	kEpa_gUjZaberI
ground cloth	jZamIna_kA_kapadA
ground engineer	sWala_aiBayaMwA
ground level delivery system	buniyAxI_swara_kI_viwaraNa_praprAlI
ground level	AXAra_auniyAxI_swara
ground of appeal	apIla_kA_AXAra
ground of claim	xAve_kA_AXAra
ground of objection	Apwwi_AkRepa_kA_AXAra
ground rent	jZamIna_kA_BAdZA
ground traffic controller	BU_yAwAyAwa_niyaMwraka
ground water discipline	BUmigawa_jala_saMbaMXI_anuSAsana
ground water potential	BUmigawa_jala_saMBAvyawA
ground water survey	BUmigawa_jala_sarvekRaNa
ground wave	BUwaraMga
groundsel bush	grAundasela_pOXe_kI_JAdZI
group accounts	grupa
group action	sAmUhika_kriyA
group address	samUha_pawA
group advances	samUha_agrima
group behavior	samUha_vyavahAra
group bonus plan	sAmUhika_bonasa_yojanA
group captain	samUha_kA_kapwAna
group code	samUha_kUta
group cohesion	samUha_saMsajFilwalqA
group commander	grupa_kamAMdara
group comments	sAmUhika_tippapriyAM
group communication	samUha_saMcAra
group decision support system	samUha_nirNaya_sahAyaka_paxXawi
group disability insurance	sAmUhika_aSawawA_bImA
group discussion	sAmUhika_carcA
group dynamics	vargIya_vEgikI
group engineer	grupa_iMjIniyara
group guarantee	samUha_gAraMtI_IrawyABUwi
group identification	samUha_pahacAna
group incharge	grupa_iMcArja
group index	samUha_sUcakAMka
group indicator	samUha_saMkewaka
group insurance scheme	sAmUhika_bImA_yojanA
group insurance	samUha_bImA
group interest	varga_hiwa
group name	samUha_nAma
group norms	samUha_mAnaxaMda_arawimAna
group officer	samUha_aXikArI
group practice	dAktaroM_kA_xala
group sales	sAmUhika_bikrI
group therapy	sAmUhika_cikiwsA
group wage system	sAmUhika_majZaxUrI_paxXawi
grouping and gradin	vargIrkaraNa_Ora_kotIkaraNa
grouping error	samUhana_wruti
grow more food officer	aXika_a_ana_uwpAxana_aXikArI
grow pale	pIlA_padZa_jAnA
growth centres	vqxXi_iikAsa_kenxra
growth of deposits	jamArASiyoM_meM_vqxXi
growth oriented tariff policy	saMvqxXimuKI_IaMvqxXi_praXAna_tEriPa_nIwi
growth potential	saMvqxXi_saMBAvya
growth promoting factors	saMvqxXikArI_kAraka
growth rate	saMvqxXi_xara
growth variables	vikAsa_kI_xata_baDZa_ke_nirxeSaka
guarantee broker	gAraMtI_xalAla_arokara
guarantee certificate	gAraMtI_pramANapawra
guarantee commission	gAraMtI_kamISana
guarantee fixed	sImiwa_gAraMtI
guarantee fund	gAraMtI_IrawyABUwi_niXi
guarantee organisation	gAraMtI_saMgaTana
guaranteed annual wage	gAraMtiwa_aAraMtIkqwa_vARirka_aAlAnA_majaxUrI_IAriSramika
guaranteed annuity	gAraMtiwa_aAraMtIkqwa_vARirkI
guaranteed base rate	gAraMtiwa_aAraMtIkqwa_mUla_xara
guaranteed bonds	gAraMtiwa_aAraMtIkqwa_bAMda
guaranteed bonus policy	gAraMtiwa_aAraMtIkqwa_bonasa_pAlisI
guaranteed income policy	gAraMtiwa_aAraMtIkqwa_Aya_nIwi
guaranteed price	nirXAriwa_kImawa
guaranteed stocks	gAraMtIkqwa_stAka
guaranteed triple benefit policy	gAraMtIyukwa_wriviXa_hiwa_lABa_pAlisI
guaranteeing fully and unconditionally	pUrNawa:Ora_binA_Sarwa_gAraMtI_xenA
guard band	rakRaka_bEMda
guard boat	rakRA_nAva
guard book	gArda_buka
guard dog	paharI_kuwwA
guard duty	gArda_kA_kArya
guard file	gArda_PZAila
guard of honour	sammAna_gAraxa
guardian ad litum	vAxArWa_aiBaBAvaka
guardian angel	nigahabAna_xevaxUwa
guardianship certificate	aiBaBAvakawA_pramANa_pawra
guava bush	amarUxa_kA_pOXA

guerrilla theater	nukkadZa_nAtaka
guessing game	atakalebAjZI_kA_Kela
guest artist	awiWi_kalAkAra
guest house superintendent	awiWi_gqha_aXIkRaka
guest house	awiWigqha
guest speaker	awiWi_vakwA
guidance checking clerk	mArgaxarSana_padZawAla_lipika
guide dog	aMXe_vyakwi_kA_mArgaxarSana_karane_vAlA_praSikRiwa_kuwwA
guided media	nirxeSiwa_maXyama
guiding price	nixeSaka-kImawa
guiding principles	mArgaxarSI_sixXAMwa
guilty concious	aparAXaboXa_graswa
guilty conscience	xoRI_aMwarAwmA
gum boot	GutanoM_waka_ke_jUwe
gun barrel	banxUka_kI_nalI
gun carriage	wopa_gAdZI
gun case	gana_kesa
gun chamber	baMxUka
gun control	banxUka_niyanwraNa
gun dog	wopa_kuwwA
gun emplacement	wopaKAnA_jamAne_kA_cabUwarA
gun enclosure	wopa_bAdZA
gunny bags	bore
guttural consonant	kaMTya_vyaMjana
guy cable	kebala_bAzXane_kA_rassA
gymnastic apparatus	kasarawa_upakaraNa
gypsum board	KariyA_mittI_samiwi
habeas corpus	banxI_prawyakRIkaraNa
habitual defaulter	AByAsika_vyawikramI
habitual indebtedness	AByAsika_qNagraswawA
habitual offender	AByAsika_aparAXI
hack around	anAXikArI_BramaNa
hacker around	GusapETiyA_BramaNa
hacker ethic	GusapETiyA_nEwikawA
hacking cough	sUKI_KAzsI
hackney carriage	tEksI
had the total requirements been properly assessed	yaxi_kula_AvaSyakawA_samuciwa_rUpa_se_AMkI_gaI_howI
haematology and nuclear medicine department	ruXira_vijFAna_Ora_nyUklIya_cikiwsA_viBAga
hair ball	bAloM_kA_gucCA
hair care	bAloM_kI_surakRA
hair cell	keSa_koSA
hair coloring	bAla_kA_raMga
hair drier	bAla_suKAne_vAlI_maSIna
hair dryer	bAla_suKAne_kA_maSIna
hair dye	bAloM_ko_raMgane_kI_sAmagrI
hair piece	nakalI_bAla
hair raising	roMgate_KadZe_kara_xene_vAlA
hair splitting	nukwAcInI
hair trigger	bazxUka_kI_libalibI
hairpin bend	sadZaka_kA_xoharA_modZa
half adder	arXa_yojaka
half and mutilated notes account	AXe_Ora_kate_Pate_notoM_kA_leKA
half and mutilated notes	AXe_Ora_kate_Pate_nota
half average pay	arxXa_Osawa_vewana
half baked	arXa_pakA
half binding	arXajilxabaMxI
half blood	varNasaMkara
half board	hotala_meM_waKAne_kI_aBipUrwi
half bridge	arXa_sewu
half brother	sOwelA_BAI
half caste	varNasaMkara
half crown	DAI_SiliMga
half day leave	AXe_xina_kI_CutZtI
half day	AXA_xina_kI_CuttI
half dollar	AXA_dOYlara
half dozen	AXA_xarjZana
half duplex channel	arXa_xvEXa_praNAla
half duplex line	arXa_xvipakRI_lAina
half duplex mode	arXa_xvEXa_viXA
half duplex node	arXa_xXimArgI_ikAI
half duplex service	arXa_xvipakRI_sevA
half duplex transmission	arXa_xXimArgI_saMcAra
half duplex	arXa_xvEXa
half eagle	AXA_gixXa
half hearted	aXUre_mana_se
half hitch	AXA_PaMxA
half holiday	AXI-CuttI
half hour	AXA_GaMtA
half hourly	aXaGaNtA
half intensity	arXa_wIvrawA
half life	xravya_kA_rediyoXarmiwawA_se_AXA_mUlaya
half light	maMxa_prakASa
half margin	hAPa_mArjina
half mast	JukA
half mile	AXA_mIla

half million	pAzca_lAKa
half moon	arXa_canxra
half note	aXUrI_sUcanA
half pay leave	arXa_vewana_CuttI
half pay	AXA_vewana
half premium policy	arXa_prImiyama_pAlisI
half router	arXa_anumArgaka
half session layer	arXa_sawra_sawaha
half sister	sOwelI_bahana
half size expansion board	arXa_AmApa_viswAraNa_borda
half substracter	arXa_vyavakalaka
half term	arXa_sawra
half timbered	lakadZI_kA_makAna
half time	maXyAnwara
half timer	arXakAlika
half tone	binxu_ciwra
half toning	arXa_CavikaraNa
half truth	arXa_sawya
half walk outs	anamane_grAhaka
half way	AXA_rAswA
half word	arXa_Sabxa
half year closing	arXavARirka_KAwAbaMxI_IeKA_saMvaraNa
half yearly report	arXavArRika_riporta
half yearly	arXavARirka
halftone engraver	hAPZatona_engrevara
halftone engraving	biMxuciwra_nakkASI
halftone etcher	hAPZatona_uwkIrNaka
halftone plotting	hOYPatona_AleKana
hall jamadar	hOYla_jamAxAra
hall mark	pramANa_cinha
hall marking	pramAprAMkana
hall of residence	viSva-vixyAlaya_Bavana
halt conductor	hOYlta_kaMdaktara
halting allowance	virAma-BawwA
halving principles	arXana_sixXAMwa
ham actor	asvABAvika_aBinewA
ham fisted	BaxxA
hamburger bun	hEmbargara_ke_liye_pAva
hamburger chain	hEmbargara_cEna
hamiltonious cycle	hemilatonI_cakra
hammer and sickle	kamyUnista_xeSoM_ke_kisAna_majaxUroM_kA_cihna
hamming code	hEmiMga_kUta
hamming distance	hEmiMga_xUrI
hand and glove	Gule_mile
hand baggage	hAWa_kA_sAmAna
hand balance	haswe_eAWa_meM_SeRa_nakaxI
hand bill	parcA
hand blower	hAWa_suKAne_kI_maSIna
hand book	puswikA
hand calculator	hAWa_kA_gaNaka
hand cheese	hAWa_kA_banA_panIra
hand clapping	wAlI
hand delivery receipts	xaswI_supurxagI_rasIxeM
hand drill	hAWa_kA_drila
hand driven machine	haswacAliwa_maSIna
hand grenade	haWagolA
hand held	hAWa_meM_honA
hand language	iMgiwa_BARA
hand luggage	hAWa_ke_Jole_kA_sAmAna
hand made tools	hAWa_se_bane_easwI_OjAra
hand over-fist	awiSIGra_va_BArI_rakama
hand over	sOMpa_xe
hand press	xaswI_xAba
hand rail	daMdA
hand recepit	xaswI_rasIxa
hand to hand struggle	Amane_sAmane_ladZAI
handicapped dependents	asuviXAgraswa_ASriwa
handing over certificate	paxaBAra_sOMpane_kA_pramANapawra
handing over	sOMpanA
handling charges	caDZAI-uwarAI_Karca
handling contracts	samhalAWa_aaDZAWa_uwarAWa_TekA_AaMvixA
handling facilities	uTAWa_XarAWa_kI_suviXAez
handling of documents	xaswAvejoM_para_kArravAWa
handloom export promotion council	haWakaraxA_niryAwa_saMvarXana_pariRax
handloom industry	haWakaraxA_uxyoga
handloom inspector	haWakaraxA_nirIkRaka
handwriting expert	haswaleKa_viSeRajFa
handwritten document	haswaliKiwa_praleKa_aaswAveja
hang glide	latakanevAle_glAidara_se_udZanA
hang glider	JUlane_vAlA_binA_iMjina_kA_vimAna
hang gliding	latakawe_hue_binA_prayAsa_ke_udZanA
hang on	para_AXAriwa
hanger on	piCalaggU
hanging paragraph	latakawA_pErA
hank panky	CedaCAda
happy chance	KuSI_kA_avasara
happy go lucky	maswamOlA
happy hour	suKI_pala
happy medium	bIca_kA_mArga
happy memories	mITI_yAxeM
happy net	suKaxa_jAla
hara kiri	AzweM_nikAla_kara_Awma_hawyA_karanA
harassing fire	pareSAna_karane_ke_lie_kI_gaI_golIbArI
harbour dues	banxaragAha_xeya
harbour master	banxaragAha_mAstara
hard and fast rule	pakkA_niyama
hard and fast rules	pakke_niyama
hard boiled	ubalA_huA
hard candy	saKwa_kEMdI
hard carriage return	anmaya_vAhaka_purnAgamana
hard cash	nakaxI
hard cider	weja_seba_kA_Asava
hard coal	saKwa_koyalA
hard copy device	hArda_kOYpI_yukwi
hard copy video interface	hArda_kOYpI_vIdiyo_aMwarApqRTa
hard copy	priMteda_kOYpI
hard court	tenisa_Kelane_kA_simeMta_kA_mExAna
hard currency area	xurlaBa_muxrA_kRewra
hard currency	xurlaBa_muxrA
hard disc	kampyUtara_kI_hArda_diska
hard disk	kampyutara_kI_hArda_diska
hard drug	mAxaka_paxArWa
hard earned	pariSrama_kA_Xana
hard error	kaTina_wruti
hard faced	asahAnuBawi
hard fought	kaTina_prawiyogiwA
hard hat	majabUwa_topa
hard headed	vyavahAraSIla
hard hearted	krUra
hard hitting	ojapUrNa
hard labour	kaTora_pariSrama_ke_sAWa_jela_kI_sajZA
hard liner	kadZA_ruKa_apanAne_vAlA
hard luck story	xurBAgyapUrNa_kahAnI
hard nosed	sayAnA
hard nut to crack	xuHsAXya
hard porn	aSlIla_varNana
hard pressed	xabAva_meM_jakadZA_honA
hard rock	roka_saMgIwa
hard sectoring	kaTora_wrijyaKaMdana
hard sell	joraxAra_bikrI_kA_DaMga
hard shoulder	ApAwa_kAla_meM_vAhanoM_kA_TaharAva_kA_sWAna
hard times	xurBAgya
hard top	motara_gAdI_kA_XAwvika_Cawa
hard up	XanABAva_se
hard wearing	tikAU
hard wired	yaMwrasWa
hard won	SramasAXya
hard working	mehanawI
hardly a	muSkila_se
hardness test	kaTorawA_parIkRaNa
hardware flow control	yAMwrika_pravAha_niyaMwraNa
hardware sales	lohe_va_XAwu_kI_bikrI
hardware store chain	XAwu_upakaraNoM_kI_SrqMKalA
hardware unit	XAwu_vaswu_ekaka
hare brained	avivekI
harmonic mean	harAwmaka_mAXya
harmony of interests	hiwoM_kA_sAmaMjasya
harpy eagle	swrI_SarIra_vAlA_pakRI_ke_paMKoM_Ora_paMjoM_kA_gixXa
harrier eagle	upaxravI_gixXa
harvest festival	Pasala_katane_para_manAyA_jAnevAlA_uwsava
harvest home	pakI_huI_PZasala_kA_batoranA
harvest moon	Saraxa_pUrNimA
has no comments to make	ko_koWa_tippaprI_nahIM_karanI_hE
hash diagram	xruwAnveRaNa_AreKa
hash function	xruwAnveRaNa_Palana
hash table	xruwAnveRaNa_sAraNI
hashing function	xruwAAnveRaNa_Palana
hashing technique	xruwAnveRaNa_wakanIka
hasty defence	xruwa-bacAva
hasty defense	xruwa-bacAva
hat money	sAvaXAnI_praBAra
hat pin	topa_kI_pina
hat trick	wIna_lagAwAra_saPalawAez
hatchet faced	lambA_ceharA_va_wIKe_nAka-nakZSa
hatchet job	kisI_ke_mAna_sammAna_ko_XakkA_pahuzcAnA
haulage charges	DulAWa_Karca
haute couture	unnawa_PESanavAle_kapadZe
haute cuisine	kOSalapUrvaka_pAka_vixyA
hav ebeen directed to ask you	muJe_nixeSa_huA_hE_ki_mE_Apako_sUciwa_karUz_zpase_nivexana_karUz_zpase_pUCUz
have been directed to inform you	muJe_nixeSa_huA_hE_ki_mE_Apako_sUciwa_karUz_zpase_nivexana_karUz_zpase_pUCUz
have been directed to request you	muJe_nixeSa_huA_hE_ki_mE_Apako_sUciwa_karUz_zpase_nivexana_karUz_zpase_pUCUz

have the honour to say	sAxara_nivexana_hE
have to	saMbanXa_raKanA
haves and have nots	sampa_ana_Ora_vipa_ana
havildar major	havalaxAra_mejara
having regard to	XyAna_meM_raKawe_hue
hawk eyed	wIkRNaxqRti_vAlA
hawser bend	jahAjZa_ko_KIMcane_kA_motA_rassA
hay bale	sUKI_GAsa_kA_gaTTA
hay fever	parAgaja_jvara
hay making	katI_GAsa_ko_suKAne_ke_liye_PElAne_kA_warIkA
haying time	cAre_ke_liye_GAsa_kAtane_suKAne_Axi_kA_mOsama
he man	eka_baliRTa_vyakwi
head accountant	praXAna_leKAkAra
head ache	siraxarxa
head and shoulder	pUrI_waraha
head and shoulders above	aXika_acCA
head artificer	praXAna_kArIgara
head assistant	praXAna_sahAyaka
head band	sirabaMXa
head barman	praXAna_bAramEna
head block instrument mistry	praXAna_blAka_yaMwra_mi_iwrI
head board	palaMga_kA_sirahAne_kI_waKwA
head book binder	praXAna_jilxasAjZa
head booking clerk	praXAna_tikata_bAbU
head bromide printer	praXAna_bromAida_muxraka
head butt	sira_se_jora_se_mAranA
head cash counter	praXAna_rokadZa_saMgapraka
head cash witness	praXAna_rokadZa_sAkRI
head clerk	praXAna_lipika
head constable	hEda_kAMstebala
head control	SIRar_niyaMwraNa
head count	ginane_kA_DaMga
head crane inspector	praXAna_krena_nirIkRaka
head design assistant	praXAna_aiBakalpa_sahAyaka
head despatcher	praXAna_preRaka
head draftsman	praXAna_prArUpakAra
head dress	Sirovaswra
head end traffic	agrasWAna_mAla
head engraver	praXAna_ukeraka
head estimator	praXAna_prAkkalaka
head ferro printer	praXAna_Pero_muxraka
head finger print examiner	praXAna_aMgulI_CApa_parIkRaka
head fitter	praXAna_Pitara
head game	bahakAne_kI_kriyA
head gap	SIrRa_aMwarAla
head gunner	praXAna_ganara
head hunter	BarwI_karAne_vAlA_kAryakarwA
head lineman	praXAna_lAinamEna
head luggage clerk	praXAna_sAmAna_klarka
head machine operator	praXAna_maSIna_pracAlaka
head master	praXAna_aXyApaka
head mate	praXAna_meta
head mistress	praXAna_aXyApikA
head motor mechanic	heda_motara_mekEnika
head note	SIrRa_tippaNI
head of accounts	leKA_SIRar
head of department	viBAgAXyakRa
head of government	SAsanAXyakRa
head of income	Aya_SIRar
head of revenue	rAjasva_SIrRa
head of state	rAja_pramuKa
head of the department	viBAgAXyakRa
head of the household	parivAra_kA_praXAna
head of the office	kAryAlaya_aXyakRa
head office account	praXAna_kAryAlaya_leKA
head office	praXAna_kAryAlaya
head on	Amane_sAmane
head parcel clerk	praXAna_pArsala_klarka
head passenger attendant	praXAna_yAwrI_paricara
head pilot	praXAna_pAilata
head planner and estimator	praXAna_yojanAkAra_Ora_prAkkalaka
head principal	praXAna_SIRar
head procurement clerk	praWAna_prApaNa_klarka
head punch operator	praXAna_paMciwra_pracAlaka
head quarters paymaster	muKyAlaya_vewanamAstara
head quarters personnel office	muKyAlaya_kArmika_aXikArI
head quarters	muKyAlaya
head reader	praXAna_vAcaka
head shroff	praXAna_sarrAPZa
head signal fitter	praXAna_siganala_Pi_itara
head signaller	praXAna_siganalara
head stereo typer	praXAna_stIriyo_tAipakarwA
head storekeeper	praXAna_BaMdArI
head sweeper	praXAna_saPZAIvAlA
head tax	vyikwa_kara
head telephone operator	praXAna_telIPZuna_pracAlaka
head ticket collector	praXAna_tikata_kalaktara
head timekeeper	praXAna_tAimakIpara
head to head	vivAxiwa_viRaya_kA_mukAbalA
head train clerk	praXAna_gAdZI-bAbU
head train examiner	praXAna_gAdZI_parIkRaka
head transhipment clerk	praXAna_yAnAMwaraNa_klarka
head transit clerk	praXAna_pAravahana_klarka
head translator	praXAna_anuvAxaka
head verifier operator	praXAna_sawyApaka_pracAlaka
head watchman	praXAna_cOkIxAra
head wear	sira_kA_pahanAvA
head weighbridge clerk	praXAna_wulAcOkI_klarka
head weighing clerk	praXAna_wulAI_klarka
head wind	anukUla_havA
header label	praveSikA_lebala
header prediction	praveSikA_anumAna
heading of form	prapawra_SIRar
headquarter allowance	muKyAlaya_BawwA
heads of income	Aya_SIRar_raxeM
heads of revenue	rAjasva_SIRar_raxeM
health care	svAsWya_surakRA
health certificate	svAsWya_pramANapawra
health check	svAsWya_nirIkRaNa
health code	svAsWya_viXi
health declaration	svAsWya_xoRaprA
health educator	svAsWya_SikRaka
health food	svAsWyapraxa_Bojana
health message	svAsWya_saMxeSa
health officer	svAsWya_aXikArI
health resort	ArogyASrama
health service	svAsWya_sevA
health tutor	svAsWya_anuSikRaka
health visitor	rogiyoM_ko_unake_Gara_jAkara_xeKane_vAlA
heap sort	pulina_CEYMtAI
hearing aid	SravaNa_yaMwra
hearse van	SavavAhana
heart attack	xila_kA_xOrA
heart block	hqxaya_avaroXa
heart cherry	hArta_cerI
heart condition	hqxaya_kI_xaSA
heart disease	hqxaya_roga
heart failure	hraxayagawi_kA_rukanA
heart rending	hraxayavixAraka
heart stopping	xila_WAmane_vAlA
heart to heart	xila_hI_xila_meM
heart warming	suKaxa
heat barrier	uRmA_avaroXaka
heat content	URma_paxArWa
heat energy	URmA_UrjA
heat engine	wApa_iMjana
heath Robinson	binA_kAma_karane_vAle_pecIxA_maSIna
heather bell	hIxara_bEla
heavenly body	KapiNda
heavy duty vehicles	BArI_gAdi_iyAM
heavy duty	tikAU
heavy engineering division	BArI_iMjIniyarI_praBAga
heavy equipment	BArI_upaskara
heavy handed	nirxaya
heavy hearted	xuKI
heavy industry	BArI_uxyoga
heavy lifting	kaTina_kArya
heavy machinery operator	BArI_maSInarI_OYparetara
heavy market	patAna_bAjAra
heavy metal	majabUwa_XAwu
heavy rains	bahuwa_varRA
heavy vehicle driver	BArI_vAhana_drAivara
heavy vehicle	BArI_vAhana
hedgehog cactus	kAzte_vAlI_nAgaPanI
hee haw	reMkanA
heeble jeebies	GabarAhata_Ora_viRAxa
heel bone	edZI_kI_haddI
heir apparent	uwwarAXikArI
held in abeyance	roka_raKI_gaI
held over	rokA_huA
hell bent	kqwasaMkalpa
hell hole	burA_sWAna
hello world	namaskAra_viSva
help net	hElpa_jAla
help screen	sahAyawA_prapata
hemp cord	sana_kI_rassI
hen coop	murgiyoM_ko_Dakane_kA_tokarA
hen house	murgiyoM_kA_xadZabA
hen party	mahilAoM_kI_jalapAna_goRTI
hepatitis B	hepetAitisa_bI
her majesty	mahAmahima
heraldic bearing	kulacihna_sambaMXI_XAra
herb Christopher	saMwa_kristoPara
herb bennet	pIle_PUloM_kA_eka_pOXA

herbarium keeper	vanaspawi_saMgrahapAla
here and now	yahIM_Ora_aBI
here to fore	isase_pUrva
here you are	lo_ho_gayA
hereditary profession	vaMSAgawa_aaMSAnugawa_vyavasAya
hereditary right	vaMSAnugawa_aXikAra
hero worship	mahAwmAoM_kI_pUjana
heroin addict	hIroina_sevI
heroin addiction	hIroina_sevI
herring bone	nIce_Upara_kI_silAI
herring gull	uwwarI_atalAntika_murgAbI
heterogeneous multiplex	viRamAMgI_bahusaMkewana
heterogeneous network	viRamAMgI_netavarka
heuristic knowledge	anumAnI_jFAmpalqAna
heuristic method	svAnuBavika_viXi
hexadecimal constant	RodaSa_AXArI_niyawAMka
hexadecimal notation	RodaSa_AXArI_aMkana_paxXawi
hexadecimal numbers	RARTika_saMKyAeEYMM
hexadecimal system	RodaRamalava_praNAlI
hey day	yOvana_kI_mawwawA
hi fi	Xvani_uwpAxaka_yanwra
hi tech	ucca_proxyOgikI
hidden agenda	gupwa_kAryAvalI
hidden line	aprawya_reKA
hidden linelimination	Xax_ma_reKA_vilopana
hidden subsidy	aprakata_ArWika_sahAyawA
hide development officer	carma_vikAsa_aXikArI
hide out	Cipane_kI_jagaha
hiding place	Cipane_kA_sWAna
hierarchical data base	paxAnukramiwa_aMAkadZAsaMcaya
hierarchical data structure	paxAnukramiwa_AMkadZA_saMracanA
hierarchical file system	paxAnukramiwa_saMcikA_vyavasWA
hierarchical network	paxAnukramika_jAla
hierarchical routing	paxAnukramiwa_anumArgaNa
hierarchical topology	paxAnukramiwa_rUpareKA
hige level language	ucca_swara_BARA
high birth rate	ucca_janma_xara
high born	ucca_kula_kA
high brass	uccaswarIya_pIwala
high chair	UzcI_kursI
high church	iMgalEMda_kA_girajAGara_jo_rIwi
high class	ucca_jAwi_kA
high commission	uccAyoga
high commissioner	uccAyukwa
high commuission	uccAyuwa
high court	ucca_nyAyAlaya
high dudgeon	awyaXika_nArAjZagI
high explosive	SakwiSAlI_visPotaka
high fever	weja_buKAra
high fidelity	avikqwa_Xvani
high flyer	saPalawA_prApwi_kI_icCA
high flying	UzcI_udZAna_BaranA
high grade	uwkqRta
high handed	svecCAcArI
high handedness	manamAnI
high income group	ucca_Aya_varga
high jinks	hazsI_majAka
high jinx	hudZaxaMga
high labour turnover	ucca_Sramika_Avarwwa
high level data link control	ucca_swarIya_aMkIya_kadZI_niyaMwraNa
high level interface subcommittee	ucca_swarIya_aMwarApqRTa_upasamiwi
high level language	ucca_swarI_BARA
high level programming language	ucca_swarIya_progrAmana_BARA
high level	uccaswarIya
high mass	kEWalika_carca_kA_eka_badZA_samAroha
high memory area	ucca_smqwi_kRewra
high minded	manasvI
high performance	ucca_niRpAxana
high point	ucca_sWiwi
high power committe	uccAXikAra_samiwi
high power transmitter doordarshan kendra	ucca_vixyuwa-Sawi_saMcAliwa_xUraxarSana_keMxra
high powered	ucca_aXikAra_saMpanna
high praise	bahuwa_praSaMsA
high pressure boiler operator	ucca_xAba_bOYyalara_pracAlaka
high pressure	aXika_xabAva
high priced executive	ucca_vewana_aXiSAsI
high priority	ucca_prAWamikawA_AgrawA
high priorty	ucca_prAWamikawA
high quality	ucca_guNavawwA
high ranking	ucca_paxasWa
high rate of growth	vqxXi_kI_ucca_xara
high reputation	badA_nAma
high rise	attAlikA
high risk area identification	awikRawimaya_kRewra_pahacAna
high road	muKya_mArga
high school reunion	hAI_skUla_kA_punarmilana
high school	ucca_vixyAlaya
high seas scale	Kule_samuxra_meM_honevAlI_bikrI_FamArga_meM_hI_kisI_anya_pakRa_ko_mAla_kI_bikrIta
high seas	mahAsAgara
high season	vyaswa_samaya
high sounding	AdambarI
high speed	wIvra_gawi
high spirited	sAhasI
high spot	GatanA_kA_viSaRta_aMga
high street	muKya_mArga
high strung	awisaMvexanaSIla
high table	ucca_maMca_kA_mejZa
high tarrif policy	ucca_praSulka_aEriPa_nIwi
high tea	maXyAhna_ke_aMwa_va_SAma_ke_pahale_cAya_lenA
high tech	ucca_prOxyogikI

high technology	ucca_prOxyogikI
high throughput device	ucca_kAlabaxXa_nirgama_yujFigwalq
high tide	ucca_jvAra
high treason	xeSaxroha_yA_rAjaxroha_kA_aparAXa
high up	ucca_sWAna_para_AsIna_vyakwi
high water mark	ucca_jala_cinha
high water	pAnI_kI_UzcI_sawaha
high ways	rAja_mArga
high wire	ucca_sWAna_kA_majabUwa_rassI
high- tech	ucca_prOxyogikIya
higher audit section	uccawara_leKAparIkRA_anuBAga
higher authority	uccawara_prAXikArI
higher denomination notes	ucca_mUlya_varga_ke_nota
higher education	ucca_SikRA
higher financing agency	uccawara_vwwiIya_awwipoRaka_ejeMsI_IiBakaraNa
higher still	Ora_aXika_UzcA
higher weighted deduction	uccawara_BAriwa_katOwI
highest bid	sabase_UzcI_bolI
highest outstanding	aXikawama_bakAyA
highest priority	savorcca_prAWamikawA
highland fling	skAtalEmada_kA_nqwya
highly objectionable	awyaMwa_Apwwijanaka
highly skilled mech	awikuSala_mekEnika
highway aid	muKya_mArga_sahAyawA
highway division	rAjamArga_praBAga
highway engineer	muKya_sadaka_kA_iMjIniyara
highway money	paWa_kara
highy paid job	ucca_vewana_paxa
hill allowance	pahAdZa-BawwA
hill station	parvawIya_sWAna
hind end	pICe_kA_BAga
hindi cell	hinxI_kakRa
hindi feature unit	hiMxI_rUpaka_ekaka
hindi inspector	hiMxI_nirIkRaka
hindi instructor	hiMxI_anuxeSaka
hindi stenographer	hiMxI_ASulipika
hindi talks section	hiMxI_vArwA_anuBAga
hindi teacher	hiMxI_aXyApaka
hindi teaching scheme	hiMxI_SikRaNa_yojanA
hindi translator	hiMxI_anuvAxaka
hindi typist	hiMxI_taMkaka
hindi unit	hiMxI_ekaka
hindu religious and charitable endowment department	hiMxU_Xarmasva_Ora_pUrwa_akRayaniXi_viBAga
hindu undivided family	hinxU_aviBakwa_kutumba
hindustan aeronotics limited	hiMxuswAna_vEmAnikI_limiteda
hindustan antibiotics limited	hiMxuswAna_eMtIbAyotiksa_limiteda
hindustan vegetable oils corporation	hiMxuswAna_vanaspawi_wela_nigama
hip bath	kati_snAna
hip flask	jeba_meM_raKane_kI_SarAba_kI_bowala
hip pocket	peMta_kI_piCale_jeba
hire charges	BAdZA
hire purchase account	kirAyA_KarIxa_leKA
