ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
safety inspector	saMrakRA_nirIkRaka
safety lamp	nirApaxa_xIpa
safety match	xiyAsalAI_kI_wIlI
safety officer	saMrakRA_aXikArI
safety standard	surakRA_kA_swara
sagment exception interrupt	KaMda_apavAxI_kRepaNa
sahara desert	sahArA_regiswAna
sail maker	silamAkura
sail master	pAla_kapwAna
sailing boat	pAla_nAva
sailing vessel	samuxragAmI_jahAja
sailor boy	nAvika
sailor cap	nAvika_topI
sailors choice	nAvika_kA_pasaMxa
salad bowl	salAxa_kA_katorA
salad burnet	gahare_BUre_raMga_kA_salAxa
salad cream	salAxa_krIma
salad day	salAxa_xina
salad dressing	salAxa_kA_sajAva
salaried class	vewanaBogI_varga
salaried office	vEwanika_paxa
salaries account	vewana_leKA
salary audit register	vewana_leKAparIkRA_rajistara
salary cap	vewana_roka
salary check register	vewana_jAMca_rajistara
salary cut	vewana_katOwI
sale account	vikraya-leKA
sale agreement	vikraya_karAra
sale and leaseback	vikraya_evaM_lIjZabEka
sale by private treaty	aSAsakIya_saMXi_ke_anusAra_vikraya
sale by sample	namUne_se_bikrI
sale deed	bEnAmA
sale document	bikrI_Iikraya_praleKa
sale letter	vikraya-pawra
sale on credit	uXAra_bikrI
sale price variance	vikraya_mUlya_BinnawA
sale proceeds	vikrayAgama
sale release order	bikrI_mAla_xene_kA_AxeSa
sale transfer order	bikrI_Iikraya_aMwaraNa_AxeSa
sale value	vikraya-mUlya
saleable value	vikreya_mUlya
sales account	bikrI_leKA
sales administration	vikraya_praSAsana
sales agreement	bikrI_rAjZInAmA
sales analysis	vikraya_viSleRaNa
sales assistant	bikrI_sahAyaka
sales book	bikrI_bahI
sales booth	bikrI_Gara
sales campaign	bikrI_aBiyAna
sales clerk	xukAna_para_kAma_karanevAlA
sales control	bikrI_niyaMwraNa
sales division	bikrI_viBAga
sales executive	bikrI_kAryapAlaka
sales forecasting	vikraya_pUrvAnumAna
sales in charge	bikrI_praBArI
sales journal	vikraya_KAwA
sales ledger control account	vikraya_KAwA_niyaMwraNa_leKA
sales ledger or sold ledger	vikraya_KAwA
sales ledger	bikrI_Iikraya_KAwA_bahI
sales on return basis	vApasI_AXAra_para_bikrI_IcaMwI_bikrI
sales order processing	vikraya_AxeSa_prakramaNa
sales per employee	vikraya_prawi_karmacArI
sales promotion officer	bikrI_saMvarXana_aXikArI
sales promotion	bikrI_varXana
sales realisation	bikrI_prApwi
sales resistance	bikrI-niyanwraNa
sales returns books	vikraya_vApasI_bahI
sales summary	bikrI_sArAMSa
sales tax Bond	bikrI_kara_baMXapawra
sales tax deduction	bikrI_kara_katOwI
sales tax exemption	bikrIkara_CUta
sales tax increase	bikrI_kara_vqxXi
sales tax officer	bikrIkara_aXikArI
sales tax receipts	bikrI_kara_rasIxa
sales tax revenue	bikrI_kara_Aya
sales tax tribunal	bikrI_kara_aXikaraNa
sales tax	bikrI-kara
sales volume variance	vikraya_BAga_prasaraNa
sales warrant	vikraya_aXipawra
salesman ship	vikraya_kalA
salient features	muKya_muKya_bAweM
salient point	muKya_bAweM
saline bath senior technician	lavapra_snAna_variRTa_wakanISiyana
saline substance	lAvaprI_paxArWa
salmon berry	sElamana_berI
salt cellar	namaka_xAna
salt petre	SorA
salt water	namaka_kA_pAnI
salutory effect	lABapraxa_aiwakArI_pariprAma
salutory practice	upayogI_IABaxAyaka_kAryapraprAlI
salvage and scrap	kabAdZa_Ora_raxxI
salvage effort	bacAva_prayAsa
salvaged and scrap	niswAra_xeya
salvation Army	mukwi-senA
salvation army	mukwi_senA
salved value	niswAriwa_sampwwi_mUlya
same time scale	vahI_samaya_mAna
sample check	namUne_kI_padZawAla
sample checking	namUnA_jAzca
sample collector	namUnA_kalaktara
sample distribution	namUne_kA_viwaraNa
sample input method area sampling	prawixarSa_Agama_viXi_kRewra
sample moment	prawixarSa_kRaNa
sample survey	namUnA_sarvekRaNa
sample taker	prawixarSa_gqhIwA
sampler order	prawixarSa_aamUnA_aiBakalpa
sampling survey	namUnA_ArawixarSa_sarvekRaNa
sampling theory	prawicayana_sixXAMwa
sanction is hereby accorded to	isake_xvArA_maMjUrI_xI_jAwI_hE
sanction order	svIkqwi-AxeSa
sanctiond pay	saMsvIkqwi_vewana
sanctioned as prosposed	praswAva_ke_anusAra_maMjUra
sanctioned budget estimate	saMsvIkqwa_bajata_anumAna
sanctioned budget	saMsvIkqwa_bajata
sanctioned pay	saMsvIkqwa_aaMjUra_vewana
sanctioned project	maMjUra_pariyojanA
sanctioned proposals	svIkqwa-bajata
sanctioned strength	saMsvIkqwa_kArmika_saMKyA
sanctioned work	maMjUra_aaMsvIkqwa_kAma_aArya
sanctioning authority	svIkqwi-prAXikArI
sanctioning order	maMjUrI_AxeSa
sand badger	rewa_bijjU
sand cherry	amarIkI_cerI_Pala
sand dune	bAlU_kA_tIlA
sand eel	samuxrawatIya_Ila_maCalI
sand testing chargeman	rewa_parIkRaNa_cArjamEna
sandwich board	sEMdavica_kAtane_kA_waKwA
sandwich course	eka_sAWa_kie_jAne_vAle_xo_SEkRika_pATyakrama
sang froid	AwmasaMyama
sanitary condition	svacCawA_kI_avasWA
sanitary inspector	saPZAWa_nirIkRaka
sash cord	kamarabaMxa
sash window	KidZakI_kA_cOKata
sat up	uTa_bETA
satellite radio transmission	upagraha_rediyo_saMcaraNa
satin bowerbird	sAtana_kapadZe_kA_maMdapa
sauce boat	catanI_pAwra
saudi arabia rial	saUxI_araba_riyAla
saurischian dinosaur	lambA_dAinosOra
sauropod dinosaur	sAropoda_dAinosOra
sausage balloon	prekRNa_gubbArA
sausage dog	CotI_tAMgoM_kI_jarmana_nasla_kA_SikArI_kuwwA
save as otherwise prescribed	jEsA_anyaWA_vihiwa_hE
saving bank account	bacawa_bEMka_KAwA_AeKA
saving bank	bacawa_bEMka
saving clause	apavAxI_KaMda
savings account	bacawa_KAwA
savings and loan account	bacawa_evaM_karja_kA_KAwA
savings bank account	bacawa_bEMka_KAwA
savings bank	bacawa_bEMka
savings cum recurring deposits	bacawa_evaM_Avawaba_jamArASiyAM
savings instruments	bacawa_sAXana
savings media	bacawa_mAXyama
savings potential	bacawa_saMBAvyawA
savings scheme	bacawa_yojanA
savoir faire	vyavahAra_kuSalawA
savoy cabbage	jaMgalI_pawwA_goBI
saw doctor	ArA_marammawakAra
saw tooth wave	ArixaMwa_waraMga
scalable typeface	mApanIya_tAIpaPesa
scalar item	axiSa_maxa
scale audit register	mAna_leKAparIkRA_rajistara
scale audit	mAna_leKAparIkRA
scale check	vewanamAna_jAMca
scale down	kama_karanA
scale of consumption	upaBoga_mAna
scale of finance	vwwi_kI_mAwrA
scale of pay	vewanamAna
scale register	mAna_rajistara
scale up	badZAnA
scan conversion	kramavIkRaNa_rUpAnwaraNa
scan live algorithm	jIvAMwa_kramavIkRaNa_kalana_viXi
scan live interating	jIvAMwa_kramavIkRaNa
scan live	jIvAMwa_kramavIkRaNa
scant respect	alpa_sammAna
scarce goods	xurlaBa_vaswueM_MAla
scarce resources	xurlaBa_sAXana
scarce saving	xurlaBa_bacawa
scarched earth policy	sarva_kRAra_nIwi
scarcity area	aBAvagraswa_kRewra
scarcity of resources	saMsAXanoM_kI_kamI
scarcity wages	xurlaBawA_majaxUrI_IAriSramika
scarlet bugler	baxanAma_bigula_bajAne_vAlA
scarlet bush	camakIlI_lAla_JAdZI
scat singing	muzha_se_nikAlA_jAne_vAlA_vAxya_svara
scatter brained	calacwwia
scattered holding	biKare_Kewa
scenic artist	prakqwi_ciwraNa_karane_vAlA_kalAkAra
schedule date	niyawa_wiWi
schedule docket	anusUcI_dAketa
schedule of debits of stock	stAka_debita_anusUcI
schedule of demands	mAMga_anusUcI
schedule of payments	axAyagI_sUcI
schedule of property	saMpwwi_sUcI
schedule of rates	xara_sUcI
schedule of receipts	prApwi_anusUcI
schedule of refunds of revenue	rAjasva_vApasiyoM_kI_sUcI
schedule of rents of land building	BUmi_Ora_Bavana_ke_kirAyoM_kI_sUcI
schedule of work	kArya_anusUcI
schedule of works expenditure	loka_nirmANa_kArya_vyaya_anusUcI
scheduled bank	anusUciwa_bEMka
scheduled cast and scheduled tribe commission	anusUciwa_jAwi_Ora_anusUciwa_janajAwi_Ayoga
scheduled caste	anusUciwa_jAwi
scheduled commercial bank	anusUciwa_vAprijya_bEMka
scheduled fire	nirXAriwa-golAbArI
scheduled industry	anusUciwa_uxyoga
scheduled of demand	mAzga_anusUcI
scheduled price	anusUciwa_kImawa
scheduled time	nirXAriwa_samaya
scheduled tribe	anusUciwa_janajAwi
scheduled tribes	anusUciwa_janajAwiyAM
schedules of debit and credit	nAme_jamA_anusUciyAM
schedules of debits credits	debitoM_Ora_kreditoM_kI_anusUcI
schematic drawing	yojanAbaxXa_AreKa
schematic lending	niyamiwa_rUpa_se_qNa_praxAna_karanA
schematic programme	yojanAbaxXa_kAryakrama
schematic term lending	yojanAbaxXa_uXAra_xenA
scherzer bridge operator	sejZara_pula_pracAlaka
scholarship bill	CAwravqwwi_bila
scholarship money	CAwravqwwi_pEsA
scholarships division	CAwravqwwi_praBAga
school Child	skUlI_baccA
school Fellow	sahapATI
school Friend	saha_vixyArWi
school Girl	skUlI_ladZakI
school House	vixyAlaya_Bavana
school Master	aXyApaka
school assignment	vixyAlaya_meM_soMpA_huA_kArya
school bell	vixyAlaya_kI_GaMtI
school board candidate	skUla_borda_prArWI
school board	vixyAlaya_samiwi
school boy	skUlI_CAwra
school broadcasts section	vixyAlaya_prasAraNa_anuBAga
school bus	skUla_basa
school child	skUlI_baccA
school day	vixyAlaya_xivasa
school dictionary	vixyAlaya_SabxakoSa
school employee	skUla_karmacArI
school fellow	sahapATI
school friend	saha_vixyArWi
school girl	skUlI_ladZakI
school house	vixyAlaya_Bavana
school leaver	praSikRiwa_vixyArWi
school leaving certificate	skUla_CodZane_kA_pramANapawra
school master	aXyApaka
school mate	sahapATI
school of artillery	wopaKZAnA_skUla
school of dental and oral surgery	xaMwa_Ora_muKya_sarjarI_skUla
school of foreign languages	vixeSI_BARA_vixyAlaya
school of planning architecture	yojanA_Ora_vAswukalA_vixyAlaya
school of tibetan studies	wibbawI_vixyAXyayana_skUla
school session	SikRA_sawra
school teacher	SikRaka
science Fiction	kAlpanika_vijFAna
science Park	vEjFAnika_prayogaSAlA
science fiction	kAlpanika_vijFAna
science park	vEjFAnika_prayogaSAlA
scientific assistant	vEjFAnika_sahAyaka
scientific discipline	vEjFAnika_anuSAsana
scientific officer	vEjFAnika_aXikArI
scientific research committee	vEjFAnika_anusaMXAna_samiwi
scientific visualization	vEjFAmpalqAnika_xqSyIkaraNa
scope of enquiry	pUCawACa_aAMca_padZawAla_kI_guMjAiSa_aiRaya_kRewra
score board	prApwAMka_pata
score out whichever is not appropriate	jo_lAgU_ho_usaMe_kAta_xeM
score out	kAta_xenA
scot free	svawanwra
scotch Broth	anAjZa_Ora_sabjiyoM_kI_rasA
scotch broth	anAjZa_Ora_sabjiyoM_kI_rasA
scotch egg	walA_aMdA{goSwa_lagA_huA}
scotch tape	PIwA
scotland yard	laMxana_pulisa_kI_muKya_kAryAlaya
scottish reel	skotiSa_nqwya
scout car	skAuta_kAra
scout master	skAuta_mAstara
scouting trip	KojI_yAwrA
scrag end	pawalA_sirA
scrambled egg	xUXa_makKana_meM_PeMtakara_pakA_aMdA
scrap book	bahI
scrap material	ramI_sAmagrI
scrap value	raxxI_mUlya
scratchpad storage	KaroMca_pEda_BaMdAraNa
screen door	parxe_kA_xvAra
screen dump	skrIna_sannikRepa
screen image projector	prapatta_prawibimba_prakRepaka
screen oriented	prapattonmuKa
screen play	Pilma_nAtaka
screen writer	patakaWA_leKaka
screening committee	CAnabIna_samiwi
screw auger	peMca_kA_baramA
screw ball	sanakI
screw driver	peMcakasa
screw topped	peMcaxAra_Dakkana
screwed up	muraJAnA
scriculture inspector	reSama_uwpAxana_nirIkRaka
scrip dividend	pawraka_lABAMSa
scrips in stock exchange	Seyara_bAjAra_meM_xiye_jAne_vAle_skripa_arawiBUwi_pawra
script Writer	kaWA_leKaka
script language	lipi_BARA
script post	pravaraNa-paxa
script writer	kaWA_leKaka
scripting system	lipikaraNa_yaMwra
scrub brush	ragadZa_kara_sAPa_karane_kA_braSa
scrubbing brush	ragadZane_kA_braSa
scrutiny office	saMvIkRA_aXikArI
scsi channel	esa_sI_esa_AI_cEnala
scsi devices	esa_sI_esa_AI_yukwi
scuba diver	skUbA_gZowAKZora
scuba diving	dubakI_lagAne_kI_sanxUka_se_gowA_lagAnA
scum bag	kUdZe_kA_WElA
scut work	apriya_kArya
sea Anemone	samuxraPZUla
sea air	samuxrI_vAyu
sea anchor	samuxrI_laMgara
sea anemone	samuxraPZUla
sea animal	samuxrI_paSu
sea ash	samuxrI_aMgU_vqkRa
sea bass	samuxrI_bEsa
sea bathing	samuxrI_snAna
sea bed	samuxra_wata
sea bird	samuxrI_pakRI
sea biscuit	jahAjZI_biskuta
sea board	samuxra_wata
sea boat	sAmuxrika_nAva
sea borne	samuxrI
sea bottom	samuxra_wala
sea bream	samuxra_meM_rahane_vAlI_maCalI
sea breeze	sAmuxrika_havA
sea captain	samuxra_kA_kapwAna
sea catfish	samuxrIya_asalka_mIna
sea chantey	mallAha_gIwa
sea chest	nAvika_kA_saMxUka
sea coal	samuxra_koyalA
sea cole	samuxrI_baMxagoBI
sea customs act	sAgara_aamuxrI_sImA_Sulka_aXiniyama
sea dog	anuBavI_nAvika
sea duck	samuxra_kA_bawwaKa
sea eagle	samuxra_gixXa
sea elephant	samuxrI_hAWI
sea farer	mallAha
sea faring	samuxrI_yAwrA
sea food	samuxrI_Bojana
sea front	watIya_nagaraBAga
sea going	samuxragAmI
sea green	halkA_nIlA_raMga
sea horse	xariyAI_GodZA
sea level	samuxra_wala
sea lion	jala_siMha
sea lord	nO_senA_meM_cAra_logoM_kA_samUha
sea power	nOsenA
sea scape	samuxrI_xqSya
sea shell	sIpa
sea shore	samuxra_wata
sea sick	samuxra_para_kI_bImArI_se_pIdZiwa
sea side	samuxra_wata
sea urchin	jalasAhI
sea wall	samuxra_watabanXa
sea water	samuxra-jala
sea way	samuxra_mArga
sea weed	samuxrI_SEvAla
seal of office	paxa_kI_muhara
sealed pattern	moharabaMxa_prawirUpa
sealed tender	muharabaMxa-nivixA
sealing down of debt	qNa_baMxa_karanA
sealing wax	moharI_lAKa
search and destroy mission	Koja_Ora_nASaka_aBiyAna
search and replace	Koja_baxala
search campaign	walASI_aiBayAna
search engine	Koja_iMjana
search fee	Koja_Sulka
search light	Koja_bawwI
search method	Koja_viXi
search mission	Koja-aBiyAna
search operation	walASI_aiBayAna
search party	anveRaka_xala
search seizure	walASI_Ora_aiBagrahaNa
search warrant	walASI_aXipawra
searching fire	Koja_ke_lie_kI_gaI_golIbArI
seaside alder	samuxra_watIya_eldara_vqkRa
season and crop report	mOsama_Ora_PZasala_riporta_arawivexana
season ticket sales	avaXi_tikata_kI_bikrI
season ticket	niyawAvaXi_tikata
seasonal agricultural operations	mOsamI_kqRi_kArya
seasonal establishment	sAmayika_sWApanA
seasonal factory	mOsamI_PEktarI_IAraKAnA
seasonal fluctuation	mOsamI_xata_baDZa_awAra_caDZAva
seasonal index	mOsamI_sUcakAMka
seasonal loans	mOsamI_karja_apra
seasonal stringency	mOsamI_waMrga
seasonal trend	mOsamI_pravqwwi
seasonal variation	mOsamI_parivarwana
seasonality discipline	mOsamI_IvaXikawA_saMbaMXI_anuSAsana
seasoned security	susWira_prawiBUwi
seat belt	Asana_petI
seating area	bETane_kA_kRewra
seating capacity	bETane_kI_kRamawA
second Class	xviwIya_SreNI
second Guess	BaviRya_kA_anumAna_karanA
second Language	xUsarI_BARA
second Person	maXyama_puruRa
second Rate	mAmUlI
second balcony	xviwIya_CajjA
second ballot	xobArA_mawaxAna{gadZabadZI_ke_kAraNa}
second base	xviwIya_AXAra
second best	xUsare_xarje_para
second charge	xviwIya_praBAra
second childhood	xUsarI_bAlyAvasWA
second class magistrate	xviwIya_SreNI_majistreta
second class paper	maXyama_huMdI
second class	xviwIya_SreNI
second cousin	cacere_kA_cacerA
second crusade	xviwIya_asaPala_XarmayuxXa
second engineer	xviwIya_iMjIniyara
second fiddle	aXInasWa_ke_rUpa_meM_kArya_karane_vAlA
second generation computer	xviwIyaka_pIDZI_aBikaliwra
second hand	purAnA
second home	avakASa_kI_viSrAMwi_GAra
second language	xUsarI_BARA
second lieutenant	senA_kA_paxAXyakRa
second name	upanAma
second nature	niSciwa_Axawa
second normal form	xviwIya_sAmAnya_avasWA
second person	maXyama_puruRa
second rate	mAmUlI
second sight	xivya_xqRti
second source	xviwIya_swrowa
second to none	sarvowwama
secondary cell	xvawIyaka_koSA
secondary censorship	xvawIya_niyaMwraNa
secondary coil	apraXAna_kAyala
secondary education board	mAXyamika_SikRA_borda
secondary education division	mAXyamika_SikRA_praBAga
secondary education	mAXyamika_SikRA
secondary emission	gONa_uwsarjana
secondary station	xviwIyaka_steSana
secret Agent	gupwacara
secret Service	KuPZiyA_viBAga
secret agent	gupwacara
secret approval	gupwa_svIkqwi
secret assets	gupwa_parisaMpwwiyAM_MswiyAM
secret ballot	gupwa_mawaxAna
secret code	gupwa_saMkewa
secret cover	gupwa_liPZAPZA
secret funds	gupwa_niXiyAz
secret inquiry	gupwa_jAzca
secret instruction	gupwa_anuxeSa
secret instructions issued	gupwa_anuxeSa_jArI_kie_gae_hEM
secret letter	gupwa_pawra
secret partner	gupwa_BAgIxAra_aAJexAra
secret police	pulisa{jAsUsI_karane_vAlI}
secret reserves	gupwa_prArakRiwa_niXiyAM
secret service	KuPZiyA_viBAga
secretarial assistant	sacivAlayI_sahAyaka
secretariat service	sacivAlaya_sevA
secretariate and included offices	sacivAlaya_Ora_samAviRta_kAryAlaya
secretary and accountant	saciva_Ora_leKAkAra
secretary general	mahAsaciva
secretary gereral	mahAsaciva
secretary of State	maMwri
secretary of state	maMwri
secretary to general manager	mahANabaMXaka_kA_saciva
secretary to the comptroller auditor general	nimaMwraka_mahAleKAparIkRaka_kA_saciva
secretary to the president	rARtrapawi_kA_saciva
secreted goods	CipAWa_huWa_vaswueM_MipAyA_huA_mAla
section clerk	anuBAga_klarka
section commander	sekSana_kamAMdara
section controller	anuBAga_niyaMwraka
section diary	anuBAga_dAyarI
section eight	XArA_ATa
section head	anuBAga_praXAna
section officer	anuBAga_aXikArI
sectional assistant	anuBAgIya_sahAyaka
sectional balancing system	vargIya_saMwulana_praprAlI
sectional balancing	vargIya_saMwulana
sectional carriage	anuBAgIya_savArI_dibbA
sectional center	anuBAgIya_kenxra
sectional note book	anuBAgIya_nota-buka
sectional notebook	anuBAgIya-notabuka
sectional notes	anuBAgIya_tippapriyAz
sector commander	sektara_kamAMdara
sector organization	sektara_saMsWApana
sectoral advances	kRewrIya_agrima
sectoral flow of credit	kRewrIya_qNa_upalabXi
sectoral indicators	kRewrIya_saMkewaka
secular average	suxIxarkAlika_Osawa
secured advance	rakRiwa_uXAra
secured bond	surakRiwa_prawijFA_pawra
secured loan	rakRiwa_karja
secured loans	prawiBUwa_karje_eakRiwa_karje
secured or clean basis	jamAnawI_yA_nirbaMXa_AXAra_para
securing algorithm	saMkalana_elgoriWma
securities deposit account	jamAnawa_jamA_leKA
securities register	prawiBUwi
security Council	surakRA_pariRaxa
security aide	surakRA_sahAyaka
security assistant	surakRA_sahAyaka
security bond	prawiBUwi-baMXapawra
security cell	surakRA_kakRa
security clerk	surakRA_klarka
security consultant	surakRA_salAhakAra
security council	surakRA_pariRaxa
security cover	surakRA_kavaca
security deposit account	jamAnawa_arawiBUwi_jamA_leKA
security deposit	prawiBUwi-jamA
security director	surakRA_nirxeSaka
security guard	surakRA_gAraxa
security instructio	surakRA_anuxeSa
security instruction	surakRA-anuxeSa
security longer dated	xIxarkAlika_prawiBUwi
security measure	surakRA_upAya
security of shares	SeyaroM_kI_jamAnawa
security office	surakRA_kAryAlaya
security officer	surakRA_aXikArI
security paper	prawiBUwi_kAgaja
security prices	prawiBUwi_kImawa_aUlya
security risk	jIvana_ko_KawarA
security supervisor	surakRA_paryavekRaka
sedan chair	pAlakI_kI_kursI
sedimentary clay	walaCatI_mittI
see about	prabanXa_karanA
see more of some one	se_aksara_milanA
see off	vixA_karanA
see over	nirIkRaNa_karanA
see saw	JUmA_JUmI
see through	samaJanA
seed beetle	bIja_BqMga
seed catalog	bIja_kA_sUcIpawra
seed coat	bIjAvaraNa
seed corn	bIja_XAnya
seed money	mUlaXana
seed multiplication officer	bIja-varXana_aXikArI
seed pearl	CotA_mowI
seedling house attendant	navoxiBaxXaSAlA_paricara
seen and passed on to	xeKa_liyA_Ora_ko_Beja_xiyA
seen and returned	xeKa_kara_vApisa_kiyA_jAwA_hE
seen and spoken	xeKa_liyA_Ora_bAwa_kara_lI
segment control module	KaMda_niyaMwraNa_mOYdyUla
segment direct word mode	KaMda_prawyakRa_Sabxa_viXA
segment map table	KaMda_prawiciwra_sAraNI
segmentation cavity	viBAjana_guhA
segregated limits	pqWakkqwa_sImAeM
seismic disturbance	BUkampIya_aswavyaswawA
seizure of goods	mAla_kA_aiBagrahaNa
select Committee	pravara_samiwi
select articles	cayaniwa_vaswueM
select committe	pravara-samiwi
select committee	pravara_samiwi
select list	cuniMxA_sUcI
selected age group	cayaniwa_aune_gae_Ayu_varga
selected for disposal	nipatAna_ke_lie_cunA_gayA
selected urban bank	cunA_huA_SaharI_bEMka
selection board	cayana_maMdala
selection control	cayanAwmaka_niyaMwraNa
selection grade auditor	pravaraNa_SreprI_leKAparIkRaka
selection grade clerk	pravaraNa_koti_lipika
selection grade daftry	pravaraNa_SreprI_xaPwarI
selection grade lower division clerk	pravaraNa_SreprI_avara_SreprI_lipika
selection grade sorter	pravaraNa_SreprI_sOrtara
selection grade	pravaraNa-greda
selection of vouchers	vAucara_cayana
selection post	pravaraNa_paxa
selection sort	cayana_CaMtAI
selective basis	cayanAwmaka_AXAra
selective credit control	cayanAwmaka_qNa_niyaMwraNa
selective repeat	cayaniwa_punaHrAvqwi
selenium cell	mecAgni_koSA
self Appointed	svayaM_niyukwa
self Assertion	svAgraha
self Assertive	svAgrahI
self absorbed	AwmalIna
self acceptance	sva_svIkqwi
self access	svayaM_nikAlanA
self acquired property	svArjiwa_sampwwi
self acquired	svArjiwa
self addressed envelop	apanA_pawA_liKA_liPZAPZA
self addressed	apane_pawe_kA
self adhesive	svayaM_cipakane_vAlA
self appointed	svayaM_niyukwa
self assertion	svAgraha
self assertive	svAgrahI
self assessment	svawa:nirXAraNa
self balancing ledger	svasaMwulaka_KAwA
self booting diskette	svaMya_saMcAliwa_cakrikA
self conscious	SarmilI
self contained note	svawa:pUrNa_tippaprI
self contained	svaMyapUrNa_AwmanirBara
self defence	AwmarakRA
self evident	svawaH_spaRta
self explanatory	svawa:_spaRta
self government	svarAjya
self help's	sva^sahAyawA+kA
self help	sva^sahAyawA{0}
self helps'	sva^sahAyawA{ba.}+kA
self helps	sva^sahAyawA{@s}
self interest	svArWa
self liquidating advance	svaparipoRaka_qNa
self occupied property	svayaM_aXimawa_sampwwi
self printing machine mechanic	svawa:_muxraNa_maSIna_mekEnika
self propelled	svanoxiwa
self removal procedure	svanirXAraNa_para_nikAsI_prakriyA
self respect's	svABimAna+kA
self respect	svABimAna{0}
self respecting	svABimAnI
self respects'	svABimAna{ba.}+kA
self respects	svABimAna{@s}
self seeking	svArWa_parAyaNa
self sustaining economy	AwmaniBarra_arWavyavasWA
self sustaining growth	svawa:sPUrwa_vikAsa
sell out	bikA_huA
selling agent	bikrI_ejeMta
selling day	becane_kA_xina
selling expenses	bikrI_vyaya
selling point	vikraya_sWala
selling price	bikrI_kImawa
selling rates	bikrI_xareM
semantic extraction	arWa_vinyAsa_niRkarRaNa
semantic network	arWa_vinyAsI_waMwra
semester hour	SEkRika_sawra_kI_eka_ikAI
semi autonomous	arXa-svAyawwa
semi breve	svara
semi circle	arXa_vqwwa
semi colon	arXa_virAma
semi concious	arXacewanA
semi conductor	arXacAlaka
semi detached	judZavA
semi final	upAnwa
semi finalist	upAnwya
semi fixed cost	arXa_nirXAriwa_lAgawa
semi government	arXasarakArI
semi group	arXasamUha
semi permanent connection	arXa_sWAyI_saMyojana
semi precious	alpa_mUlya
semi rural	arXa-grAmINa
semi skilled	arXa_kuSala
semi urban	arXa-nagarIya
semi vowel	arWasvara
semicircular arch	arXa_golAkAra_meharAba
semicircular canal	arXavqwwIya_nalI
semiconductor device	arXacAlaka_upakaraNa
semiconductor sales	arXacAlaka_bikrI
semimajor axis	arXapraXAna_akRa
semiminor axis	arXasUkRma_akRa
senate campaign	rAjyasaBA_kA_aBiyAna
send off	vixAI
send sb Down	kExa_karanA
send sb off	nikAlanA
send sth on	apane_pahuzcane_se_pahale_koI_vaswu_BejanA
send up	nakala_kara_ke_hazsI_udZAne_kI_prakriyA
senile dementia	jarAjanya_manoBraMSa
senior Citizen	vqxXa_aWavA_sevA_nivqwwa_vyakwi
senior accountant	variRTa_leKAkAra
senior accounts officer	variRTa_leKA_aXikArI
senior administrative grade	variRTa_praSAsana_greda
senior administrative officer	variRTa_praSAsanika_aXikArI
senior advertising assistant	variRTa_vijFApana_sahAyaka
senior assistant planner and estimator	variRTa_sahAyaka_yojanAkAra_Ora_prAkkalaka
senior assistant	variRTa_sahAyaka
senior auditor	variRTa_leKAparIkRaka
senior catering inspector	variRTa_KAnapAna_nirIkRaka
senior chargeman	variRTa_kAryekRaka
senior chief planner	variRTa_muKya_yojanAkAra
senior citizen	vqxXa_aWavA_sevA_nivqwwa_vyakwi
senior class	ucca_varga
senior clerk	variRTa_klarka
senior correspondent	variRTa_saMvAxaxAwA
senior deputy accountant general	variRTa_upa_mahAleKAkAra
senior deputy general manager	variRTa_upa_mahANabaMXaka
senior design assistant	variRTa_aiBakalpa_sahAyaka
senior director	variRTa_nixeSaka
senior draftsman	variRTa_drAPtsamEna
senior engineer	variRTa_aiBayaMwA
senior engineering assistant	variRTa_iMjIniyarI_sahAyaka
senior estimator	variRTa_prAkkalaka
senior gestetner operator	variRTa_gestetanara_pracAlaka
senior grade	variRTa_greda
senior grain shop manager	variRTa_KAxyA_Ana_xukAna_prabaMXaka
senior grains inspector	variRTa_KAxyA_Ana_nirIkRaka
senior head message checker	variRTa_praXAna_saMxeSa_padZawAlakarwA
senior industrial relations officer	variRTa_Oxyogika_saMparka_aXikArI
senior inspector of armaments	variRTa_AyuXa_nirIkRaka
senior inspector of station accounts	variRTa_steSana_leKA_nirIkRaka
senior inspector	variRTa_nirIkRaka
senior jig and tool designer	variRTa_ji_iga_OjZAra_aiBakalpaka
senior law assistant	variRTa_viXi_sahAyaka
senior lecturer	variRTa_prAXyApaka
senior luggage clerk	variRTa_sAmAna_lipika
senior machinery maintenance inspector	variRTa_maSIna_anurakRaNa_nirIkRaka
senior maintenance engineer	variRTa_anurakRaNa_iMjIniyara
senior malaria inspector	variRTa_maleriyA_nirIkRaka
senior mechanic	variRTa_mekEnika
senior mistry	variRTa_mi_iwrI
senior most	variRTawama
senior parcel clerk	variRTa_pArsala_klarka
senior perosnnel officer	variRTa_kArmika_aXikArI
senior photographer	variRTa_PZotogrAPZara
senior physiotherapist	variRTa_BOwika_cikiwsaka
senior production assistant	variRTa_praswuwi_sahAyaka
senior public relations officer	variRTa_jana-samparka_aXikArI
senior publicity assistant	variRTa_pracAra_sahAyaka
senior reception officer	variRTa_svAgawa_aXikArI
senior receptionist	variRTa_svAgawakarwwA
senior recorder	variRTa_aBileKaka
senior research and development assistant	variRTa_anusaMXAna_Ora_vikAsa_sahAyaka
senior research and development inspector	variRTa_anusaMXAna_Ora_vikAsa-nirIkRaka
