aa	e~e
ingenious	vixagXa[-]
ingenue	BolI
ingenuities'	vixagXawA{ba.}{@vib:kA}
ingenuities	vixagXawA{@s}
ingenuity's	vixagXawA{@vib:kA}
ingenuity	vixagXawA{0}
ingenuity	vixagXawA^kuSAgrabuxXi
ingenuouser	saccA~{wara}
ingenuousest	saccA~{wama}
ingenuously	niCakapatawA_se
ingenuous	saccA[-]
ingested	KilAnA~{@ed/@en}
ingesting	KilAnA~{@ing}
ingest	KilAnA{0}
ingests	KilAnA~{@s}
inglorious	akIrwikara[-]
ingloriouser	akIrwikara~{wara}
ingloriousest	akIrwikara~{wama}
ingoted	SilikA~{@ed/@en}
ingoting	SilikA~{@ing}
ingot	SilikA{0}
ingots'	SilikA{ba.}{@vib:kA}
ingots	SilikA~{@s}
ingot's	SilikA{@vib:kA}
ingraineder	gaxarA~{wara}
ingrainedest	gaxarA~{wama}
ingrained	gaxarA[-]
ingrainengraineder	gaxarA~{wara}
ingrainengrainedest	gaxarA~{wama}
ingrainengrained	gaxarA[-]
Ingratiate	anugraha~prApwa~karanA
ingratitude	akqwajFawA{0}
ingratitudes'	akqwajFawA{ba.}{@vib:kA}
ingratitudes	akqwajFawA{@s}
ingratitude's	akqwajFawA{@vib:kA}
ingrediant	saMGataka
ingredient	aMga/aMSa
ingression	ingreSana
ingroup	anwaH~samUha
ingrowing	anwarvarXiwa[-]
ingrowinger	anwarvarXiwa~{wara}
ingrowingest	anwarvarXiwa~{wama}
ingulfed	nimagna~kara~{@ed/@en}
ingulfing	nimagna~kara~{@ing}
ingulf	nimagna~kara{0}
ingulfs	nimagna~kara~{@s}
inhabitant	nivAsI{0}
inhabitants'	nivAsI{ba.}{@vib:kA}
inhabitants	nivAsI{@s}
inhabitant's	nivAsI{@vib:kA}
inhabit	basanA2{0}
inhabited	basanA2~{@ed/@en}
inhabited	meM~nivAsa~karanA~{@ed/@en}
inhabiting	basanA2~{@ing}
inhabiting	meM~nivAsa~karanA~{@ing}
inhabit	meM~nivAsa~karanA{0}
inhabits	basanA2~{@s}
inhabits	meM~nivAsa~karanA~{@s}
inhaled	sAzsa~KIMcanA~{@ed/@en}
inhaler	sAzsa~KicanevAlA~yaMwra{0}
inhalers'	sAzsa~KicanevAlA~yaMwra{ba.}{@vib:kA}
inhalers	sAzsa~KicanevAlA~yaMwra{@s}
inhaler's	sAzsa~KicanevAlA~yaMwra{@vib:kA}
inhale	sAzsa~KIMcanA{0}
inhales	sAzsa~KIMcanA~{@s}
inhaling	sAzsa~KIMcanA~{@ing}
inharmonic	asaMgawa[-]
inharmonicer	asaMgawa~{wara}
inharmonicest	asaMgawa~{wama}
inharmonious	asaMgawa[-]
inharmoniouser	asaMgawa~{wara}
inharmoniousest	asaMgawa~{wama}
inherent	anwarnihiwa[-]
inherenter	anwarnihiwa~{wara}
inherentest	anwarnihiwa~{wama}
inherentest	svABAvika~{wama}
inherently	sahaja_opa_se
inherent	svABAvika[-]
inheritances'	uwwarAXikAra{ba.}{@vib:kA}
inheritances	uwwarAXikAra{@s}
inheritance's	uwwarAXikAra{@vib:kA}
inheritance	uwwarAXikAra{0}
inherited	uwwarAXikAra~meM~pAnA~{@ed/@en}
inherited	uwwarAXikAra~meM~prApwa~karanA~{@ed/@en}
inheriting	uwwarAXikAra~meM~pAnA~{@ing}
inheriting	uwwarAXikAra~meM~prApwa~karanA~{@ing}
inheritors'	uwwarAXikArI{ba.}{@vib:kA}
inheritors	uwwarAXikArI{@s}
inheritor's	uwwarAXikArI{@vib:kA}
inheritor	uwwarAXikArI{0}
inherits	uwwarAXikAra~meM~pAnA~{@s}
inherits	uwwarAXikAra~meM~prApwa~karanA~{@s}
inherit	uwwarAXikAra~meM~pAnA{0}
inherit	uwwarAXikAra~meM~prApwa~karanA{0}
inhibited	niroXa~karanA/rokanA~{@ed/@en}
inhibiting	niroXa~karanA/rokanA~{@ing}
inhibition	saMyama{0}
inhibitions'	saMyama{ba.}{@vib:kA}
inhibitions	saMyama{@s}
inhibition's	saMyama{@vib:kA}
inhibit	niroXa~karanA/rokanA{0}
inhibits	niroXa~karanA/rokanA~{@s}
inhospitable	asawkArI^aSaraNaxAyI[praxeSa~yA~mOsama][-]
inhospitabler	asawkArI^aSaraNaxAyI[praxeSa~yA~mOsama]~{wara}
inhospitablest	asawkArI^aSaraNaxAyI[praxeSa~yA~mOsama]~{wama}
inhospitalities'	AWiwya~rahiwa{ba.}{@vib:kA}
inhospitalities	AWiwya~rahiwa{@s}
inhospitality	AWiwya~rahiwa{0}
inhospitality's	AWiwya~rahiwa{@vib:kA}
in-house	AMwarika
inhouse	AMwarika
in-houser	AMwarika~{wara}
inhouser	AMwarika~{wara}
in-housest	AMwarika~{wama}
inhousest	AMwarika~{wama}
inhumane	nirxaya[-]
inhumaner	nirxaya~{wara}
inhumanest	nirxaya~{wama}
inhumanities'	nirxayawA{ba.}{@vib:kA}
inhumanities	nirxayawA{@s}
inhumanity	nirxayawA{0}
inhumanity's	nirxayawA{@vib:kA}
inhuman	nirxaya[-]
in	iMca/anxara/meM^se
inimicaler	vixveRIpUrNa~{wara}
inimicalest	vixveRIpUrNa~{wama}
inimical	vixveRIpUrNa[-]
inimitable	anupama[-]
inimitabler	anupama~{wara}
inimitablest	anupama~{wama}
in	@in{->meM}
iniquitous	anyAyapUrNa
iniquity	anyAya
initial	AraMBika[-]{0}
initialed	AraMBika~{@ed/@en}
initialed	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{@ed/@en}
initialer	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{wara}
initialest	AraMBika~{wama}
initialest	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{wama}
initialing	AraMBika~{@ing}
initialing	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{@ing}
initialization	AraMBIkaraNa~/~prAAraMMBikIkaraNa
initialled	AraMBika~{@ed/@en}
initialled	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{@ed/@en}
initialling	AraMBika~{@ing}
initialling	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{@ing}
initially	AraMBa~meM
initially	SurU~meM
initial	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA[-]{0}
initials	AraMBika~{@s}
initials'	AraMBika{@s}{@vib:kA}
initial's	AraMBika{@vib:kA}
initials'	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA{ba.}{@vib:kA}
initials	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA~{@s}
initial's	prAramBika/pahalA~akRara{nAma~yA~Sabxa~kA}/nAma~kA~pahalA~akRara~liKanA{@vib:kA}
initiated	SuruAwa~karanA2~{@ed/@en}
initiated	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA~{@ed/@en}
initiater	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA~{wara}
initiates	SuruAwa~karanA2~{@s}
initiates'	SuruAwa~karanA2{@s}{@vib:kA}
initiate's	SuruAwa~karanA2{@vib:kA}
initiatest	SuruAwa~karanA2~{wama}
initiatest	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA~{wama}
initiate	SuruAwa~karanA2[-]{0}
initiates'	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA{ba.}{@vib:kA}
initiates	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA~{@s}
initiate's	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA{@vib:kA}
initiate	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA[-]{0}
initiating	SuruAwa~karanA2~{@ing}
initiating	xIkRiwa~vyakwi/AramBa~karanA^xIkRA~xenA~{@ing}
initiations'	sUwrapAwa^xIkRA{ba.}{@vib:kA}
initiations	sUwrapAwa^xIkRA{@s}
initiation's	sUwrapAwa^xIkRA{@vib:kA}
initiation	sUwrapAwa^xIkRA{0}
initiative	pahala[-]
initiative	pahala[-]
initiativer	pahala~{wara}
initiatives'	pahala{ba.}{@vib:kA}
initiatives	pahala{@s}
initiatives	pahala{@s}
initiatives'	pahala{@s}{@vib:kA}
initiative's	pahala{@vib:kA}
initiative's	pahala{@vib:kA}
initiativest	pahala~{wama}
initiativest	pahala~{wama}
initiator	prAramBaka{0}
initiators'	prAramBaka{ba.}{@vib:kA}
initiators	prAramBaka{@s}
initiator's	prAramBaka{@vib:kA}
injected	suI~lagAnA^navInawA~lAnA~{@ed/@en}
injecting	suI~lagAnA^navInawA~lAnA~{@ing}
injection	sUI
injector	iFjektara
injects	suI~lagAnA^navInawA~lAnA~{@s}
inject	suI~lagAnA^navInawA~lAnA{0}
injuction	vyAxeSa
injudicious	ayukwa[-]
injudiciouser	ayukwa~{wara}
injudiciousest	ayukwa~{wama}
injudiciously	avivekapUrNa_DaMga_se
injunction	niReXAjFA{0}
injunctions'	niReXAjFA{ba.}{@vib:kA}
injunctions	niReXAjFA{@s}
injunction's	niReXAjFA{@vib:kA}
injure	Ahawa~karanA2{0}
injured	Ahawa~karanA2~{@ed/@en}
injureder	GAyala^xoRiwa~{wara}
injuredest	GAyala^xoRiwa~{wama}
injured	GAyala~karanA~{@ed/@en}[-]
injure	GAyala~karanA{0}
injures	Ahawa~karanA2~{@s}
injures	GAyala~karanA~{@s}
injuries'	cota^kRawi{ba.}{@vib:kA}
injuries	cota^kRawi{@s}
injuries	cota{@s}
injuries'	cota{@s}{@vib:kA}
injuring	Ahawa~karanA2~{@ing}
injuring	GAyala~karanA~{@ing}
injuriouser	hAnikAraka~{wara}
injuriousest	hAnikAraka~{wama}
injurious	hAnikAraka[-]
injury	cota{0}
injury	cota^kRawi{0}
injury's	cota^kRawi{@vib:kA}
injury's	cota{@vib:kA}
injustice	anyAya{0}
injustice	anyAya{0}
injustices'	anyAya{ba.}{@vib:kA}
injustices	anyAya{@s}
injustices	anyAya{@s}
injustices'	anyAya{@s}{@vib:kA}
injustice's	anyAya{@vib:kA}
injustice's	anyAya{@vib:kA}
inked	syAhI~{@ed/@en}
inked	syAhI/syAhI~PeranA~{@ed/@en}
inking	syAhI~{@ing}
inking	syAhI/syAhI~PeranA~{@ing}
inkling	saMkewa{0}
inklings'	saMkewa{ba.}{@vib:kA}
inklings	saMkewa{@s}
inkling's	saMkewa{@vib:kA}
ink-pads'	syAhI~pEda{ba.}{@vib:kA}
ink-pads	syAhI~pEda{@s}
ink-pad's	syAhI~pEda{@vib:kA}
ink-pad	syAhI~pEda{0}
inks	syAhI~{@s}
inks'	syAhI{@s}{@vib:kA}
inks'	syAhI/syAhI~PeranA{ba.}{@vib:kA}
inks	syAhI/syAhI~PeranA~{@s}
ink's	syAhI/syAhI~PeranA{@vib:kA}
ink's	syAhI{@vib:kA}
ink	syAhI{0}
ink	syAhI/syAhI~PeranA{0}
inky	syAha^syAhI~Bar
inlaid	jadAI~karanA~{@ed/@en}
inland	anwarxeSIya/xeSa~ke~anxara{0}
inlander	anwarxeSIya/xeSa~ke~anxara~{wara}
inlandest	anwarxeSIya/xeSa~ke~anxara~{wama}
inlands'	anwarxeSIya/xeSa~ke~anxara{ba.}{@vib:kA}
inlands	anwarxeSIya/xeSa~ke~anxara{@s}
inland's	anwarxeSIya/xeSa~ke~anxara{@vib:kA}
in-law	sasurAla-vAlA
inlaying	jadAI~karanA~{@ing}
inlay	jadAI~karanA{0}
inlays'	jadAI~karanA{ba.}{@vib:kA}
inlays	jadAI~karanA~{@s}
inlay's	jadAI~karanA{@vib:kA}
inlet	pawalI~KAdI{0}
inlets'	pawalI~KAdI{ba.}{@vib:kA}
inlets	pawalI~KAdI~{@s}
inlet's	pawalI~KAdI{@vib:kA}
inletting	pawalI~KAdI~{@ing}
inmates'	vAsI{ba.}{@vib:kA}
inmates	vAsI{@s}
inmate's	vAsI{@vib:kA}
inmate	vAsI{0}
inmost	aMwarwama^keMxra_ke_samIpasWa
innards	azw^yaMwra~kA~BIwarI~BAga
innate	janmajAwa[-]
innately	svABAvika~rUpa~se
innater	janmajAwa~{wara}
innatest	janmajAwa~{wama}
inner	anxarUnI[-]
inner	BIwarI^Awmika[BAvanA][-]
innerer	BIwarI^Awmika[BAvanA]~{wara}
innerest	anxarUnI~{wama}
innerest	BIwarI^Awmika[BAvanA]~{wama}
innermost	aMwarwama^keMxra~ke~samIpasWa
inners	anxarUnI{@s}
inners'	anxarUnI{@s}{@vib:kA}
inner's	anxarUnI{@vib:kA}
inners'	BIwarI^Awmika[BAvanA]{ba.}{@vib:kA}
inners	BIwarI^Awmika[BAvanA]{@s}
inner's	BIwarI^Awmika[BAvanA]{@vib:kA}
inning	pAr
innings	pArI{0}
innings's	pArI{@vib:kA}
innkeeper	sarAya~prabanXaka
innocence	BolApana^nirxoRapana{0}
innocence	nirxoRawA{0}
innocences	BolApana^nirxoRapana{@s}
innocences'	BolApana^nirxoRapana{@s}{@vib:kA}
innocence's	BolApana^nirxoRapana{@vib:kA}
innocences'	nirxoRawA{ba.}{@vib:kA}
innocences	nirxoRawA{@s}
innocence's	nirxoRawA{@vib:kA}
innocenter	nirxoRa~{wara}
innocentest	nirxoRa^BolA~{wama}
innocentest	nirxoRa~{wama}
innocently	kAnUnI~DaMga~se^Bolepana~se
innocent	nirxoRa^BolA[-]
innocent	nirxoRa[-]
innocents'	nirxoRa{ba.}{@vib:kA}
innocents	nirxoRa^BolA{@s}
innocents'	nirxoRa^BolA{@s}{@vib:kA}
innocent's	nirxoRa^BolA{@vib:kA}
innocents	nirxoRa{@s}
innocent's	nirxoRa{@vib:kA}
innocuouser	hAni~na~karane~vAlA~{wara}
innocuousest	hAni~na~karane~vAlA~{wama}
innocuous	hAni~na~karane~vAlA[-]
innovated	nayA~DaMga~nikAlanA~{@ed/@en}
innovate	nayA~DaMga~nikAlanA{0}
innovates	nayA~DaMga~nikAlanA~{@s}
innovating	nayA~DaMga~nikAlanA~{@ing}
innovation	navInIkaraNa{0}
innovations'	navInIkaraNa{ba.}{@vib:kA}
innovations	navInIkaraNa{@s}
innovation's	navInIkaraNa{@vib:kA}
innovative	navIna
innovator	pravarwaka
innovatory	navInakArI
inn	sarAya{0}
inns'	sarAya{ba.}{@vib:kA}
inns	sarAya{@s}
inn's	sarAya{@vib:kA}
innuendos'	vyaMgyokwi{ba.}{@vib:kA}
innuendos	vyaMgyokwi{@s}
innuendo's	vyaMgyokwi{@vib:kA}
innuendo	vyaMgyokwi{0}
innumerable	asaMKya[-]
innumerabler	asaMKya~{wara}
innumerablest	asaMKya~{wama}
innumerate	gaNiwa~meM~jisakA~mUla~jFAna~na~ho[-]
innumerater	gaNiwa~meM~jisakA~mUla~jFAna~na~ho~{wara}
innumerates'	gaNiwa~meM~jisakA~mUla~jFAna~na~ho{ba.}{@vib:kA}
innumerates	gaNiwa~meM~jisakA~mUla~jFAna~na~ho{@s}
innumerate's	gaNiwa~meM~jisakA~mUla~jFAna~na~ho{@vib:kA}
innumeratest	gaNiwa~meM~jisakA~mUla~jFAna~na~ho~{wama}
innumerous	asaMKya[-]
innumerouser	asaMKya~{wara}
innumerousest	asaMKya~{wama}
inoculated	tIkA~lagAnA~{@ed/@en}
inoculates	tIkA~lagAnA~{@s}
inoculate	tIkA~lagAnA{0}
inoculating	tIkA~lagAnA~{@ing}
inoculations'	tIkA{ba.}{@vib:kA}
inoculations	tIkA{@s}
inoculation's	tIkA{@vib:kA}
inoculation	tIkA{0}
inoculator	tIkA~lagAne~vAlA
inoffensive	hAni~na~pahuzcAne~vAlA[-]
inoffensiver	hAni~na~pahuzcAne~vAlA~{wara}
inoffensivest	hAni~na~pahuzcAne~vAlA~{wama}
inontrouestibly	nirvivAxa~rUpa~se
inoperable	jisakA~Salya-cikiwsA~na~ho~sake^niRkriya[-]
inoperabler	jisakA~Salya-cikiwsA~na~ho~sake^niRkriya~{wara}
inoperablest	jisakA~Salya-cikiwsA~na~ho~sake^niRkriya~{wama}
inoperative	akriya[-]
inoperativer	akriya~{wara}
inoperativest	akriya~{wama}
inordinate	awyaXika[-]
inordinately	bahuwa~jJyAxA
inordinater	awyaXika~{wara}
inordinatest	awyaXika~{wama}
inorganic	akArbanika^jada[-]
inorganicer	akArbanika^jada~{wara}
inorganicest	akArbanika^jada~{wama}
in-patient	aMwaraMga~rogI{0}
inpatient	aMwaraMga~rogI{0}
in-patients'	aMwaraMga~rogI{ba.}{@vib:kA}
inpatients'	aMwaraMga~rogI{ba.}{@vib:kA}
in-patients	aMwaraMga~rogI{@s}
inpatients	aMwaraMga~rogI{@s}
in-patient's	aMwaraMga~rogI{@vib:kA}
inpatient's	aMwaraMga~rogI{@vib:kA}
inproved	asixXa
input	Agawa^kampyUtara~meM~BarI~sAmagrI{0}
input	inaputa^niveSa{0}
inputs'	Agawa^kampyUtara~meM~BarI~sAmagrI{ba.}{@vib:kA}
inputs	Agawa^kampyUtara~meM~BarI~sAmagrI{@s}
input's	Agawa^kampyUtara~meM~BarI~sAmagrI{@vib:kA}
inputs	inaputa^niveSa{@s}
inputs'	inaputa^niveSa{@s}{@vib:kA}
input's	inaputa^niveSa{@vib:kA}
inquest	kisI~kI~mqwyu~ke~kAraNoM~kI~nyAyika~jAzca{0}
inquests'	kisI~kI~mqwyu~ke~kAraNoM~kI~nyAyika~jAzca{ba.}{@vib:kA}
inquests	kisI~kI~mqwyu~ke~kAraNoM~kI~nyAyika~jAzca{@s}
inquest's	kisI~kI~mqwyu~ke~kAraNoM~kI~nyAyika~jAzca{@vib:kA}
inquired	pUCa-wACa~karanA~{@en}
inquire	pUCa-wACa~karanA{0}
inquire	pUCa~wACa~karanA{0}
inquirer	pUCa-wACa~karane~vAlA{0}
inquirers'	pUCa-wACa~karane~vAlA{ba.}{@vib:kA}
inquirers	pUCa-wACa~karane~vAlA{@s}
inquirer's	pUCa-wACa~karane~vAlA{@vib:kA}
inquires	pUCa-wACa~karanA~{@s}
inquires	pUCa~wACa~karanA~{@s}
inquiries'	pUCawACa{ba.}{@vib:kA}
inquiries	pUCawACa{@s}
inquiries	pUCa~wACa{@s}
inquiries'	pUCa~wACa{@s}{@vib:kA}
inquiringer	vixyArjana~kI~aBiruci~{wara}
inquiringest	vixyArjana~kI~aBiruci~{wama}
inquiring	vixyArjana~kI~aBiruci[-]
inquiry	pUCawACa{0}
inquiry	pUCa~wACa{0}
inquiry's	pUCawACa{@vib:kA}
inquiry's	pUCa~wACa{@vib:kA}
inquisitions'	viXarmiyoz~ko~xamana~karane~kA~saMGa^AXikArika~jAzca{ba.}{@vib:kA}
inquisitions	viXarmiyoz~ko~xamana~karane~kA~saMGa^AXikArika~jAzca{@s}
inquisition's	viXarmiyoz~ko~xamana~karane~kA~saMGa^AXikArika~jAzca{@vib:kA}
inquisition	viXarmiyoz~ko~xamana~karane~kA~saMGa^AXikArika~jAzca{0}
inquisitive	jijFAsu[-]
inquisitiveness	jijFAsA
inquisitiver	jijFAsu~{wara}
inquisitivest	jijFAsu~{wama}
inroad	GusapETa{0}
inroads'	GusapETa{ba.}{@vib:kA}
inroads	GusapETa{@s}
inroad's	GusapETa{@vib:kA}
inrushes'	wejI~se~anxara~AnA{ba.}{@vib:kA}
inrushes	wejI~se~anxara~AnA{@s}
inrush's	wejI~se~anxara~AnA{@vib:kA}
inrush	wejI~se~anxara~AnA{0}
insanely	pAgalapana~kI~haxa~waka
insane	pAgala[-]
insaner	pAgala~{wara}
insanes'	pAgala{ba.}{@vib:kA}
insanes	pAgala{@s}
insane's	pAgala{@vib:kA}
insanest	pAgala~{wama}
insanest	vikRipwa~{wama}
insanes	vikRipwa{@s}
insanes'	vikRipwa{@s}{@vib:kA}
insane's	vikRipwa{@vib:kA}
insane	vikRipwa[-]
insanitary	pAgala~banA~xenIvAlI
insanities'	pAgalapana{ba.}{@vib:kA}
insanities	pAgalapana{@s}
insanity	pAgalapana{0}
insanity's	pAgalapana{@vib:kA}
insatiable	jo~wqpwa~na~ho[-]
insatiabler	jo~wqpwa~na~ho~{wara}
insatiablest	jo~wqpwa~na~ho~{wama}
insatiably	awqpya_opa_se
insatiate	jo~wqpwa~na~ho[-]
insatiater	jo~wqpwa~na~ho~{wara}
insatiatest	jo~wqpwa~na~ho~{wama}
inscribe	CApanA{0}
inscribed	CApanA~{@ed/@en}
inscribes	CApanA~{@s}
inscribing	CApanA~{@ing}
inscription	leKa{SilA~Axi~para}{0}
inscription	SilAleKa{0}
inscriptions	leKa{SilA~Axi~para}{@s}
inscriptions'	leKa{SilA~Axi~para}{@s}{@vib:kA}
inscription's	leKa{SilA~Axi~para}{@vib:kA}
inscriptions'	SilAleKa{ba.}{@vib:kA}
inscriptions	SilAleKa{@s}
inscription's	SilAleKa{@vib:kA}
inscrutable	gUDa[-]
inscrutabler	gUDa~{wara}
inscrutablest	gUDa~{wama}
inscrutably	rahasyamaya_DaMga_se
insecticidaler	kItanASakIya~{wara}
insecticidalest	kItanASakIya~{wama}
insecticidal	kItanASakIya[-]
insecticide	kItanASaka~paxArWa{0}
insecticides'	kItanASaka~paxArWa{ba.}{@vib:kA}
insecticides	kItanASaka~paxArWa{@s}
insecticide's	kItanASaka~paxArWa{@vib:kA}
insectivore	kItaBakRaka{0}
insectivores'	kItaBakRaka{ba.}{@vib:kA}
insectivores	kItaBakRaka{@s}
insectivore's	kItaBakRaka{@vib:kA}
insectivorouser	kItaBakRI~{wara}
insectivorousest	kItaBakRI~{wama}
insectivorous	kItaBakRI[-]
insect	kIdZA{0}
insect	kIdZA{0}
insects'	kIdZA{ba.}{@vib:kA}
insects	kIdZA{@s}
insects	kIdZA{@s}
insects'	kIdZA{@s}{@vib:kA}
insect's	kIdZA{@vib:kA}
insect's	kIdZA{@vib:kA}
insecure	asurakRiwa[-]
insecurely	asurakRiwa~rUpa~se
insecurer	asurakRiwa~{wara}
insecurest	asurakRiwa~{wama}
insecurities'	asurakRA{ba.}{@vib:kA}
insecurities	asurakRA{@s}
insecurity	asurakRA{0}
insecurity's	asurakRA{@vib:kA}
inseminate	bIja~dAlanA{0}
inseminated	bIja~dAlanA~{@ed/@en}
inseminated	garBAXAna~karanA~{@ed/@en}
inseminate	garBAXAna~karanA{0}
inseminates	bIja~dAlanA~{@s}
inseminates	garBAXAna~karanA~{@s}
inseminating	bIja~dAlanA~{@ing}
inseminating	garBAXAna~karanA~{@ing}
insemination	garBAXAna{0}
inseminations'	garBAXAna{ba.}{@vib:kA}
inseminations	garBAXAna{@s}
insemination's	garBAXAna{@vib:kA}
insensibilities'	saMvexanaSUnyawA^uxAsInawA{ba.}{@vib:kA}
insensibilities	saMvexanaSUnyawA^uxAsInawA{@s}
insensibility	saMvexanaSUnyawA^uxAsInawA{0}
insensibility's	saMvexanaSUnyawA^uxAsInawA{@vib:kA}
insensiblenesses'	saMvexanaSUnyawA^uxAsInawA{ba.}{@vib:kA}
insensiblenesses	saMvexanaSUnyawA^uxAsInawA{@s}
insensibleness	saMvexanaSUnyawA^uxAsInawA{0}
insensibleness's	saMvexanaSUnyawA^uxAsInawA{@vib:kA}
insensibler	saMvexanaSUnya~{wara}
insensible	saMvexanaSUnya[-]
insensiblest	saMvexanaSUnya~{wama}
insensibly	saMvexanaSUnya~waraha~se
insensitive	asaMvexanaSIla[-]
insensitively	asaMvexanaSIla~DaMga~se
insensitiveness	saMvexanASUnyawA
insensitiver	asaMvexanaSIla~{wara}
insensitivest	asaMvexanaSIla~{wama}
insensitivity	asaMvexanaSIlawA
inseparable	jo~alaga~na~ho~sake[-]
inseparabler	jo~alaga~na~ho~sake~{wara}
inseparablest	jo~alaga~na~ho~sake~{wama}
insert	bIca~meM~dAlanA{0}
insert	dAlanA{anxara~yA~bIca~meM}{0}
inserted	bIca~meM~dAlanA~{@ed/@en}
inserted	dAlanA{anxara~yA~bIca~meM}~{@ed/@en}
inserting	bIca~meM~dAlanA~{@ing}
inserting	dAlanA{anxara~yA~bIca~meM}~{@ing}
insertion	niveSana^anwa:sWApana{0}
insertions'	niveSana^anwa:sWApana{ba.}{@vib:kA}
insertions	niveSana^anwa:sWApana{@s}
insertion's	niveSana^anwa:sWApana{@vib:kA}
inserts	bIca~meM~dAlanA~{@s}
inserts'	bIca~meM~dAlanA{@s}{@vib:kA}
insert's	bIca~meM~dAlanA{@vib:kA}
inserts'	dAlanA{anxara~yA~bIca~meM}{ba.}{@vib:kA}
inserts	dAlanA{anxara~yA~bIca~meM}~{@s}
insert's	dAlanA{anxara~yA~bIca~meM}{@vib:kA}
in-service	nOkarI~ke~xOrAna[-]
inservice	nOkarI~ke~xOrAna[-]
inset	jadZA~huA/jadZanA{0}
insets'	jadZA~huA/jadZanA{ba.}{@vib:kA}
insets	jadZA~huA/jadZanA~{@s}
inset's	jadZA~huA/jadZanA{@vib:kA}
insetting	jadZA~huA/jadZanA~{@ing}
inshock	insulina{0}
inshocks'	insulina{ba.}{@vib:kA}
inshocks	insulina{@s}
inshock's	insulina{@vib:kA}
inshore	watavarwI^kinAre~kI~waraM
inside	aByanwara/ke~anxara{0}
inside	@inside{->[ke]~anxara}
insider	jo~samAja~ke~BIwara~ho{0}
insiders'	jo~samAja~ke~BIwara~ho{ba.}{@vib:kA}
insiders	jo~samAja~ke~BIwara~ho{@s}
insider's	jo~samAja~ke~BIwara~ho{@vib:kA}
insides'	aByanwara/ke~anxara{ba.}{@vib:kA}
insides	aByanwara/ke~anxara{@s}
inside's	aByanwara/ke~anxara{@vib:kA}
insides	inside{->ke~anxara}{@s}
insides'	inside{->ke~anxara}{@s}{@vib:kA}
inside's	inside{->ke~anxara}{@vib:kA}
insidiouser	pracCanna~rUpa~se~{wara}
insidiousest	pracCanna~rUpa~se~{wama}
insidiously	hAnikAraka
insidious	pracCanna~rUpa~se[-]
insight	anwarxqRti{0}
insight	anwarxqRti{0}
insightful	gaharI~pahuzca~vAl
insights'	anwarxqRti{ba.}{@vib:kA}
insights	anwarxqRti{@s}
insights	anwarxqRti{@s}
insights'	anwarxqRti{@s}{@vib:kA}
insight's	anwarxqRti{@vib:kA}
insight's	anwarxqRti{@vib:kA}
insignia	paxacihna^wagamA{eka.ba.}
insigniases'	paxacihna^wagamA{ba.}{@vib:kA}
insigniases	paxacihna^wagamA{@s}
insignias'	paxacihna^wagamA{ba.}{@vib:kA}
insignias	paxacihna^wagamA{eka.ba.}
insignia's	paxacihna^wagamA{@vib:kA}{ba.}+kA
insignias's	paxacihna^wagamA{@vib:kA}
insignificance	nagaNyawA{0}
insignificances'	nagaNyawA{ba.}{@vib:kA}
insignificances	nagaNyawA{@s}
insignificance's	nagaNyawA{@vib:kA}
insignificancies'	nagaNyawA{ba.}{@vib:kA}
insignificancies	nagaNyawA{@s}
insignificancy	nagaNyawA{0}
insignificancy's	nagaNyawA{@vib:kA}
insignificanter	nagaNya~{wara}
insignificantest	nagaNya~{wama}
insignificantly	nagaNya_opa_se
insignificant	nagaNya[-]
insincere	niRTAhIna[-]
insincerer	niRTAhIna~{wara}
insincerest	niRTAhIna~{wama}
insincerities'	kapata{ba.}{@vib:kA}
insincerities	kapata{@s}
insincerity	kapata{0}
insincerity's	kapata{@vib:kA}
insinuate	cAlAkI~BarA~saMkewa~karanA{0}
insinuates	cAlAkI~BarA~saMkewa~karanA~{@s}
insinuation	cAlAkI~BarA~saMkewa{0}
insinuations'	cAlAkI~BarA~saMkewa{ba.}{@vib:kA}
insinuations	cAlAkI~BarA~saMkewa{@s}
