# Girl standing in front of me ..
# Structure of the file:
##_I_was_fond_of_her_music.
#GOD,ÈÏÌÚÂèÌÚ,PADA,,
#These_are_the_people_who_most_need_our_help.
#_Girl_standing_in_front_of_me_..
#_Structure_of_the_file:
#aBiyAna_->_aBiyAna_calAnA
#anybody,³Û×Ü~ËÜ^³å§~ËÜ,PADA,kisI_oblque_form_of_koI,BI_is_optional_in_interrogative,
#anything's,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#anything,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#drift's,ÊØÆÚ{vib:³Ú},SABDA,,
#drift,ÊØÆÚ{0},SABDA,,
#drifted,ÊØÆÚ~{ed/en},SABDA,,
#drifting,ÊØÆÚ~{ing},SABDA,,
#drifts',ÊØÆÚ{s}{vib:³Ú},SABDA,,
#drifts,ÊØÆÚ~{s},SABDA,,
#fond,È×ÆèÄ~ØåÆÚ2[-],SABDA,,
#most,¤ÅÛ³ÂÌ,PADA,,
#nervous,ÔèÍµèÏ^×èÆÚÍÔÛ³[-],SABDA,,
#nobody,³å§~ÆØÜ¢{0},SABDA,,
#none,³å§~ÆØÜ¢,SABDA,,
#nothing,³İ¹~ËÜ~ÆØÜ¢^ÕŞÆèÍ{0},SABDA,,
#retain,×èÃÛÏ~Ï´ÆÚ{0},SABDA,,
#retained,×èÃÛÏ~Ï´ÆÚ~{ed/en},SABDA,,
#retaining,×èÃÛÏ~Ï´ÆÚ~{ing},SABDA,,
#retains,×èÃÛÏ~Ï´ÆÚ~{s},SABDA,,
#some,³İ¹^³å§,SABDA,,
#standing,×èÃÚ§/ÈèÏÂÛÖè¾Ú[-]~{ing},SABDA,,
#urge's,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{vib:³Ú},SABDA,,
#urge,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{0},SABDA,,
#urged,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ed/en},SABDA,,
#urges',ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
#urges,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{s},SABDA,,
#urging,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ing},SABDA,,
#walking,ÈâÄÑ~¸ÑÆÚ[-]~{ing},SABDA,,
#wrd,paxasuwra,source,comment,path_of_essay_file
#writing,ÑÛ´Ú§,PADA,,
laddering,×ÜÀéÜ~{ing},SABDA,,
ladders',×ÜÀéÜ{s}{vib:³Ú},SABDA,,
ladders,×ÜÀéÜ~{s},SABDA,,
ladies's,ÌØÛÑÚ¬¡{vib:³Ú},SABDA,,
ladies',ÌØÛÑÚ¬¡{0}{s}{vib:³Ú},SABDA,,
ladies's',ÌØÛÑÚ¬¡{s}{vib:³Ú},SABDA,,
ladies's,ÌØÛÑÚ¬¡{vib:³Ú}{s},SABDA,,
ladies,ÌØÛÑÚ¬¡{0/s},SABDA,,
lads',¹å³ÏÚ{s}{vib:³Ú},SABDA,,
lads,¹å³ÏÚ{s},SABDA,,
lady's,ÌØÛÑÚ{vib:³Ú},SABDA,,
lady,ÌØÛÑÚ{0},SABDA,,
lagoon's,×ÌİÄèÏÜ~»ÜÑ{vib:³Ú},SABDA,,
lagoon,×ÌİÄèÏÜ~»ÜÑ{0},SABDA,,
lagoons',×ÌİÄèÏÜ~»ÜÑ{s}{vib:³Ú},SABDA,,
lagoons,×ÌİÄèÏÜ~»ÜÑ{s},SABDA,,
lagune's,×ÌİÄèÏÜ~»ÜÑ{vib:³Ú},SABDA,,
lagune,×ÌİÄèÏÜ~»ÜÑ{0},SABDA,,
lagunes',×ÌİÄèÏÜ~»ÜÑ{s}{vib:³Ú},SABDA,,
lagunes,×ÌİÄèÏÜ~»ÜÑ{s},SABDA,,
laid,[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-~{ed/en},SABDA,,
lain,»Ş¾/[È¿éÜ~ØİÍÜ]~×èÃÛÂÛ~Ìá¢~ØåÆÚ~{en},SABDA,,
lake's,»ÜÑ{vib:³Ú},SABDA,,
lake,»ÜÑ{0},SABDA,,
lakes',»ÜÑ{s}{vib:³Ú},SABDA,,
lakes,»ÜÑ{s},SABDA,,
lakh,ÑÚ´,HARI-Prop_noun,,
lamb's,ÌáÌÆÚ{vib:³Ú},SABDA,,
lamb,ÌáÌÆÚ{0},SABDA,,
lambed,ÌáÌÆÚ~{ed/en},SABDA,,
lambing,ÌáÌÆÚ~{ing},SABDA,,
lambodara,ÑÌèÊåÄÏ,HARI-Prop_noun,,
lambs',ÌáÌÆÚ{s}{vib:³Ú},SABDA,,
lambs,ÌáÌÆÚ~{s},SABDA,,
lamp's,ÑâÌèÈ^¸ÛÏÚµ{vib:³Ú},SABDA,,
lamp,ÑâÌèÈ^¸ÛÏÚµ{0},SABDA,,
lampman,ÊÂèÂÜÔÚÆ,Designation_and_Department_Names:HARIRAM,,
lamps',ÑâÌèÈ^¸ÛÏÚµ{s}{vib:³Ú},SABDA,,
lamps,ÑâÌèÈ^¸ÛÏÚµ{s},SABDA,,
land's,ÅÏÂÜ`{vib:³Ú},SABDA,,
land,ÅÏÂÜ`{0},SABDA,,
landed,ÅÏÂÜ`~{ed/en},SABDA,,
landholder,ËŞÌÛÅÚÏÜ,Administration_Glossary:HARIRAM,,
landing,ÌÅèÍ~Ì¢¸^¨ÂÏÆÚ,PADA,,
landlord's,ÌÚÑÛ³{ºéÌÜÆ_Ì³ÚÆ..}{vib:³Ú},SABDA,,
landlord,ÌÚÑÛ³{ºéÌÜÆ_Ì³ÚÆ..}{0},SABDA,,
landlords',ÌÚÑÛ³{ºéÌÜÆ_Ì³ÚÆ..}{s}{vib:³Ú},SABDA,,
landlords,ÌÚÑÛ³{ºéÌÜÆ_Ì³ÚÆ..}{s},SABDA,,
landmark,[ËŞ]^¸ÛØèÆ,,,
lands',ÅÏÂÜ`{s}{vib:³Ú},SABDA,,
lands,ÅÏÂÜ`~{s},SABDA,,
landscape's,ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]{vib:³Ú},SABDA,,
landscape,ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]{0},SABDA,,
landscaped,ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]~{ed/en},SABDA,,
landscapes',ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]{s}{vib:³Ú},SABDA,,
landscapes,ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]~{s},SABDA,,
landscaping,ÈèÏ³ßÂÛ^¸ÛÂèÏ[ÄßÕèÍ]~{ing},SABDA,,
lane's,µÑÜ{vib:³Ú},SABDA,,
lane,µÑÜ[-],SABDA,,
lanes',µÑÜ{s}{vib:³Ú},SABDA,,
lanes,µÑÜ{s},SABDA,,
lanest,µÑÜ~{ÂÌ},SABDA,,
language's,ËÚÖÚ{vib:³Ú},SABDA,,
language,ËÚÖÚ{0},SABDA,,
languages',ËÚÖÚ{s}{vib:³Ú},SABDA,,
languages,ËÚÖÚ{s},SABDA,,
languish,ÄİÏèÊÑ~ØåÆÚ{0},SABDA,,
languished,ÄİÏèÊÑ~ØåÆÚ~{ed/en},SABDA,,
languishes,ÄİÏèÊÑ~ØåÆÚ~{s},SABDA,,
languishing,ÄİÏèÊÑ~ØåÆÚ~{ing},SABDA,,
lap's,¤¢³^¤¢¸Ñ`{vib:³Ú},SABDA,,
lap,¤¢³^¤¢¸Ñ`{0},SABDA,,
lapped,¤¢³^¤¢¸Ñ`~{ed/en},SABDA,,
lapping,¤¢³^¤¢¸Ñ`~{ing},SABDA,,
laps',¤¢³^¤¢¸Ñ`{s}{vib:³Ú},SABDA,,
laps,¤¢³^¤¢¸Ñ`~{s},SABDA,,
lapse,ÊÜÂ~ºÚÆÚ,THAKURDASSJI,,
large's,ÔÛÕÚÑ{vib:³Ú},SABDA,,
large,ÔÛÕÚÑ{0},SABDA,,
largely,Ìİ´èÍÂÍÚ,SABDA,,
larger,ÔÛÕÚÑ~{ÂÏ},SABDA,,
larges',ÔÛÕÚÑ{s}{vib:³Ú},SABDA,,
larges,ÔÛÕÚÑ{s},SABDA,,
largest,ÔÛÕÚÑ~{ÂÌ},SABDA,,
lascar,ÑÕè³Ï/´ÑÚ×Ü,Designation_and_Department_Names:HARIRAM,,
lasers,ÑáºéÏ,Electronics,,
last's,¤ÆèÂÛÌ/ÊÆá~ÏØÆÚ{vib:³Ú},SABDA,,
last,¤ÆèÂÛÌ^µÂ-/ÊÆá~ÏØÆÚ{0},PADA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/last
lasted,ÊÆá~ÏØÆÚ~{ed/en},PADA,,
lastest,¤ÆèÂÛÌ/ÊÆá~ÏØÆÚ~{ÂÌ},SABDA,,
lasting's,ÊÆÚ~ÏØÆá~ÔÚÑÚ{vib:³Ú},SABDA,,
lasting,ÊÆÚ~ÏØÆá~ÔÚÑÚ[-]~{ing},SABDA,,
lastingest,ÊÆÚ~ÏØÆá~ÔÚÑÚ~{ÂÌ},SABDA,,
lastings',ÊÆÚ~ÏØÆá~ÔÚÑÚ{s}{vib:³Ú},SABDA,,
lastings,ÊÆÚ~ÏØÆá~ÔÚÑÚ{s},SABDA,,
lastly,¥µÛÏ~Ìá¢/¤ÆèÂÂ£,Administration_Glossary:HARIRAM,,
lasts,¤ÆèÂÛÌ/ÊÆá~ÏØÆÚ~{s},SABDA,,
latch's,×Û½³ÆÜ{vib:³Ú},SABDA,,
latch,×Û½³ÆÜ{0},SABDA,,
latched,×Û½³ÆÜ~{ed/en},SABDA,,
latches',×Û½³ÆÜ{s}{vib:³Ú},SABDA,,
latches,×Û½³ÆÜ~{s},SABDA,,
latching,×Û½³ÆÜ~{ing},SABDA,,
late,ËŞÂÈŞÏèÔ^ÄáÏ~[×á],SABDA,,
lately,ÈÛ¹Ñá~ÄÛÆå¢,SABDA,,
latency,ÈèÏ×İÈèÂÛ~/~ÔÛÑ¢ÊÂÚ,Operating-System,,
later,ÊÚÄ~Ìá¢,REF,,
laterest,ÊÚÄ~[Ìá¢]~{ÂÌ},SABDA,,
latest,ÆÔÜÆÂÌ~{ÂÌ},SABDA,,
latestest,ÆÔÜÆÂÌ~{ÂÌ},SABDA,,
latheman,´ÏÚÄÛÍÚ,Designation_and_Department_Names:HARIRAM,,
latter's,ÊÚÄÔÚÑÚ{vib:³Ú},SABDA,,
latter,ÊÚÄÔÚÑÚ[-],SABDA,,
latterest,ÊÚÄÔÚÑÚ~{ÂÌ},SABDA,,
latters',ÊÚÄÔÚÑÚ{s}{vib:³Ú},SABDA,,
latters,ÊÚÄÔÚÑÚ{s},SABDA,,
laud's,×ÏÚØÆÚ{vib:³Ú},SABDA,,
laud,×ÏÚØÆÚ{0},SABDA,,
lauded,×ÏÚØÆÚ~{ed/en},SABDA,,
lauding,×ÏÚØÆÚ~{ing},SABDA,,
lauds',×ÏÚØÆÚ{s}{vib:³Ú},SABDA,,
lauds,×ÏÚØÆÚ~{s},SABDA,,
laugh's,Ø¡×Ü^Ø¡×ÆÚ{vib:³Ú},SABDA,,
laugh,Ø¡×Ü^Ø¡×ÆÚ{0},SABDA,,
laughed,Ø¡×Ü^Ø¡×ÆÚ~{ed/en},SABDA,,
laughing,Ø¡×Ü^Ø¡×ÆÚ~{ing},SABDA,,
laughs',Ø¡×Ü^Ø¡×ÆÚ{s}{vib:³Ú},SABDA,,
laughs,Ø¡×Ü^Ø¡×ÆÚ~{s},SABDA,,
laughter's,Ø¡×Ü{vib:³Ú},SABDA,,
laughter,Ø¡×Ü{0},SABDA,,
laughters',Ø¡×Ü{s}{vib:³Ú},SABDA,,
laughters,Ø¡×Ü{s},SABDA,,
launch's,Ñç¢¸~Êå½^¹å¿éÆÚ{vib:³Ú},SABDA,,
launch,Ñç¢¸~Êå½^¹å¿éÆÚ{0},SABDA,,
launched,Ñç¢¸~Êå½^¹å¿éÆÚ~{ed/en},SABDA,,
launches',Ñç¢¸~Êå½^¹å¿éÆÚ{s}{vib:³Ú},SABDA,,
launches,Ñç¢¸~Êå½^¹å¿éÆÚ~{s},SABDA,,
launching,Ñç¢¸~Êå½^¹å¿éÆÚ~{ing},SABDA,,
law's,ÆÛÍÌ^³ÚÆŞÆ{vib:³Ú},SABDA,,
law,ÆÛÍÌ^³ÚÆŞÆ{0},SABDA,,
lawn's,¶Ú×~³Ú~ÌâÄÚÆ{vib:³Ú},SABDA,,
lawn,¶Ú×~³Ú~ÌâÄÚÆ{0},PADA,,
lawns',¶Ú×~³Ú~ÌâÄÚÆ{s}{vib:³Ú},SABDA,,
lawns,¶Ú×~³Ú~ÌâÄÚÆ{s},SABDA,,
laws',ÆÛÍÌ^³ÚÆŞÆ{s}{vib:³Ú},SABDA,,
laws,ÆÛÍÌ^³ÚÆŞÆ{s},SABDA,,
lawyer's,Ô³ÜÑ{vib:³Ú},SABDA,,
lawyer,Ô³ÜÑ{0},SABDA,,
lawyers',Ô³ÜÑ{s}{vib:³Ú},SABDA,,
lawyers,Ô³ÜÑ{s},SABDA,,
laxity,ÕÛÃÛÑÂÚ,Administration_Glossary:HARIRAM,,
lay's,[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-{vib:³Ú},SABDA,,
lay,[ÊÛ¹Ú]Ï´^Äá/Ñá½~{ed},PADA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/lay
layer,ÈÏÂ,PADA,,
layest,[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-~{ÂÌ},SABDA,,
laying,[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-~{ing},SABDA,,
layman,×ÚÌÚÆèÍºÆ/¤ÆÚ¿éÜ,FROMNET,,
layoff,³ÚÌÊÆèÄÜ,Administration_Glossary:HARIRAM,,
lays',[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-{s}{vib:³Ú},SABDA,,
lays,[ÊÛ¹Ú³Ï]Ï´ÆÚ/¤ÔÛÕáÖºè¼-~{s},SABDA,,
lazier,¥Ñ×Ü~{ÂÏ},SABDA,,
laziest,¥Ñ×Ü~{ÂÌ},SABDA,,
laziness,¥Ñ×èÍ,FROMNET,,
lazy,¥Ñ×Ü[-],SABDA,,
lcons,¥¦³çÆ,Graphical/Multimedia-System,,
lead's,ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]/×Ü×Ú{vib:³Ú},SABDA,,
lead,ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]/×Ü×Ú{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/lead
leader's,ÆáÂÚ{vib:³Ú},SABDA,,
leader,ÆáÂÚ{0},SABDA,,
leaders',ÆáÂÚ{s}{vib:³Ú},SABDA,,
leaders,ÆáÂÚ{s},SABDA,,
leadership's,ÆáÂßÂèÔ{vib:³Ú},SABDA,,
leadership,ÆáÂßÂèÔ{0},SABDA,,
leading,ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]/×Ü×Ú~{ing},SABDA,,
leads',ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]/×Ü×Ú{s}{vib:³Ú},SABDA,,
leads,ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]/×Ü×Ú~{s},SABDA,,
leaf's,ÈÂèÂÚ`{vib:³Ú},SABDA,,
leaf,ÈÂèÂÚ`{0},SABDA,,
leafed,ÈÂèÂÚ`~{ed/en},SABDA,,
leafing,ÈÂèÂÚ`~{ing},SABDA,,
leafs,ÈÂèÂÚ`~{s},SABDA,,
league's,ÑÜµ{vib:³Ú},SABDA,,
league,ÑÜµ{0},SABDA,,
leagued,ÑÜµ~{ed/en},SABDA,,
leagues',ÑÜµ{s}{vib:³Ú},SABDA,,
leagues,ÑÜµ~{s},SABDA,,
leaguing,ÑÜµ~{ing},SABDA,,
leak's,Ï×ÆÚ`{vib:³Ú},SABDA,,
leak,Ï×ÆÚ`{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/leak
leakage's,ÏÛ×ÚÔ`{vib:³Ú},SABDA,,
leakage,ÏÛ×ÚÔ`{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/leakage
leakages',ÏÛ×ÚÔ`{s}{vib:³Ú},SABDA,,
leakages,ÏÛ×ÚÔ`{s},SABDA,,
leaked,Ï×ÆÚ`~{ed/en},SABDA,,
leaking,Ï×ÆÚ`~{ing},SABDA,,
leaks',Ï×ÆÚ`{s}{vib:³Ú},SABDA,,
leaks,Ï×ÆÚ`~{s},SABDA,,
lean,½áÀéÚ~´¿éÚ~ØåÆÚ{0}=/ÄİÊÑÚ^³Ì-,PADA,,
leaning,×ØÚÏÚ~ÄáÆÚ2~{ing},PADA,,
leans,½áÀéÚ~´¿éÚ~ØåÆÚ{s}=,PADA,,
leant,×ØÚÏÚ~ÄáÆÚ2^½áÀéÚ~´¿éÚ~ØåÆÚ2{s},PADA,,
leap's,¹ÑÚ¡µ{vib:³Ú},SABDA,,
leap,¹ÑÚ¡µ{0},SABDA,,
leaped,¹ÑÚ¡µ~{ed/en},SABDA,,
leaping,¹ÑÚ¡µ~{ing},SABDA,,
leaps',¹ÑÚ¡µ{s}{vib:³Ú},SABDA,,
leaps,¹ÑÚ¡µ~{s},SABDA,,
leapt,¹ÑÚ¡µ~{ed/en},SABDA,,
learn,×Ü´ÆÚ{0},SABDA,,
learned,ÔÛÄèÔÚÆ/ºÚÆÚ,REF,,
learnedest,ÔÛÄèÔÚÆ~{ÂÌ},SABDA,,
learnedness,ÔÛÄèÔÂèÂÚ,FROMNET,,
learning,×Ü´ÆÚ~{ing},SABDA,,
learns,×Ü´ÆÚ~{s},SABDA,,
learnt,×Ü´ÆÚ~{ed/en},SABDA,,
leaseholder,È½è½ÚÅÚÏÜ/È½è½áÄÚÏ,Administration_Glossary:HARIRAM,,
least,¤ÑèÈÂÌ,SABDA,,
leastest,¤ÑèÈÂÌ~{ÂÌ},SABDA,,
leather's,¸Ì¿éÚ{vib:³Ú},SABDA,,
leather,¸Ì¿éÚ{0},SABDA,,
leathered,¸Ì¿éÚ~{ed/en},SABDA,,
leathering,¸Ì¿éÚ~{ing},SABDA,,
leathers',¸Ì¿éÚ{s}{vib:³Ú},SABDA,,
leathers,¸Ì¿éÚ~{s},SABDA,,
leave's,¹İ½è½Ü[>¹å¿é`]{vib:³Ú},SABDA,,
leave,¹İ½è½Ü[>¹å¿é`]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/leave
leaves',¹İ½è½Ü[>¹å¿é`]{s}{vib:³Ú},SABDA,,
leaves's,ÈÂèÂÚ`{s}{vib:³Ú},SABDA,,
leaves,¹İ½è½Ü[>¹å¿é]/ÈÂèÂÜ{s},REF,,
leaving,¹å¿é{ing},REF,,
lecture's,ÔèÍÚ´èÍÚÆ{vib:³Ú},SABDA,,
lecture,ÔèÍÚ´èÍÚÆ{0},SABDA,,
lectured,ÔèÍÚ´èÍÚÆ~{ed/en},SABDA,,
lectures',ÔèÍÚ´èÍÚÆ{s}{vib:³Ú},SABDA,,
lectures,ÔèÍÚ´èÍÚÆ~{s},SABDA,,
lecturing,ÔèÍÚ´èÍÚÆ~{ing},SABDA,,
led,ÆáÂßÂèÔ~³ÏÆÚ[>Ñá~ºÚÆÚ]~{ed/en},SABDA,,
ledger,´ÚÂÚ,THAKURDASSJI,,
left's,ÊÚ¡ÍÚ~[È¢Ã]{vib:³Ú},SABDA,,
left,ÊÚ¡ÍÚ~[È¢Ã]{0}/¹å¿ÆÚ~{ed/en},PADA,,
left-factoring,ÔÚÌ~³ÚÏ³Æ,Mathematical-Computation,,
leftest,ÊÚ¡ÍÚ~[È¢Ã]~{ÂÌ},SABDA,,
leftover,Ê¸Ú~´İ¸Ú,PADA,,
lefts',ÊÚ¡ÍÚ~[È¢Ã]{s}{vib:³Ú},SABDA,,
lefts,ÊÚ¡ÍÚ~[È¢Ã]{s},SABDA,,
leg's,½Ú¡µ{vib:³Ú},SABDA,,
leg,½Ú¡µ{0},SABDA,,
legal,³ÚÆŞÆÜ[-],SABDA,,
legalest,³ÚÆŞÆÜ~{ÂÌ},SABDA,,
legalization,ÔâÅÜ³ÏÁ,Administration_Glossary:HARIRAM,,
legation,ÄŞÂÚÔÚ×,Designation_and_Department_Names:HARIRAM,,
legend's,³Û¢ÔÄ¢ÂÜ{vib:³Ú},SABDA,,
legend,³Û¢ÔÄ¢ÂÜ{0},SABDA,,
legends',³Û¢ÔÄ¢ÂÜ{s}{vib:³Ú},SABDA,,
legends,³Û¢ÔÄ¢ÂÜ{s},SABDA,,
legged,½Ú¡µ~{ed/en},SABDA,,
legging,½Ú¡µ~{ing},SABDA,,
legislation's,ÔÛÅÛ{vib:³Ú},SABDA,,
legislation,ÔÛÅÛ{0},SABDA,,
legislations',ÔÛÅÛ{s}{vib:³Ú},SABDA,,
legislations,ÔÛÅÛ{s},SABDA,,
legislative's,ÔâÅÚÆÛ³{vib:³Ú},SABDA,,
legislative,ÔâÅÚÆÛ³[-],SABDA,,
legislatives',ÔâÅÚÆÛ³{s}{vib:³Ú},SABDA,,
legislatives,ÔâÅÚÆÛ³{s},SABDA,,
legislativest,ÔâÅÚÆÛ³~{ÂÌ},SABDA,,
legislator's,ÔÛÅÚÍ³{vib:³Ú},SABDA,,
legislator,ÔÛÅÚÍ³{0},SABDA,,
legislators',ÔÛÅÚÍ³{s}{vib:³Ú},SABDA,,
legislators,ÔÛÅÚÍ³{s},SABDA,,
legislature's,ÔÛÅÚÆÌÁè¿Ñ{vib:³Ú},SABDA,,
legislature,ÔÛÅÚÆÌÁè¿Ñ{0},SABDA,,
legislatures',ÔÛÅÚÆÌÁè¿Ñ{s}{vib:³Ú},SABDA,,
legislatures,ÔÛÅÚÆÌÁè¿Ñ{s},SABDA,,
legitimate,ÔâÅ{0}[-],SABDA,,
legitimated,ÔâÅ~{ed/en},SABDA,,
legitimates,ÔâÅ~{s},SABDA,,
legitimatest,ÔâÅ~{ÂÌ},SABDA,,
legitimating,ÔâÅ~{ing},SABDA,,
legs',½Ú¡µ{s}{vib:³Ú},SABDA,,
legs,½Ú¡µ~{s},SABDA,,
lemma,ÑâÌÚ/ÈèÏáÌÍÛ³ÚCompiler-Design,,
lemon's,ÆÜÊŞ{vib:³Ú},SABDA,,
lemon,ÆÜÊŞ[-],SABDA,,
lemonest,ÆÜÊŞ~{ÂÌ},SABDA,,
lemons',ÆÜÊŞ{s}{vib:³Ú},SABDA,,
lemons,ÆÜÊŞ{s},SABDA,,
lend,ÄáÆÚ{¨ÅÚÏ}{0},SABDA,,
lending,ÄáÆÚ{¨ÅÚÏ}~{ing},SABDA,,
lends,ÄáÆÚ{¨ÅÚÏ}~{s},SABDA,,
length's,ÑÌèÊÚ§{vib:³Ú},SABDA,,
length,ÑÌèÊÚ§{0},SABDA,,
lengths',ÑÌèÊÚ§{s}{vib:³Ú},SABDA,,
lengths,ÑÌèÊÚ§{s},SABDA,,
lenicncy,ÆÏÌÜ/¨ÄÚÏÂÚ,Administration_Glossary:HARIRAM,,
lenka,Ñá¢³Ú,HARI-Prop_noun,,
lent,ÄáÆÚ{¨ÅÚÏ}~{ed/en},SABDA,,
less,³Ì,SABDA,,
lesson's,ÈÚ¾{vib:³Ú},SABDA,,
lesson,ÈÚ¾{0},SABDA,,
lessoned,ÈÚ¾~{ed/en},SABDA,,
lessoning,ÈÚ¾~{ing},SABDA,,
lessons',ÈÚ¾{s}{vib:³Ú},SABDA,,
lessons,ÈÚ¾~{s},SABDA,,
lest,³ØÜ¢{ËÍ},SABDA,,
let's,ÄáÆÚ{¤ÆİÌÂÛ}{vib:³Ú},SABDA,,
let,ÄáÆÚ{¤ÆİÌÂÛ}{0},SABDA,,
letdown's,ÄáÆÚ{¤ÆİÌÂÛ}{s}{vib:³Ú},SABDA,,
letdown,ÄáÆÚ{¤ÆİÌÂÛ}{s},SABDA,,
lets,ÄáÆÚ{¤ÆİÌÂÛ}~{s},SABDA,,
letter's,ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]{vib:³Ú},SABDA,,
letter,ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]{0},SABDA,,
lettered,ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]~{ed/en},SABDA,,
lettering,ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]~{ing},SABDA,,
letters',ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]{s}{vib:³Ú},SABDA,,
letters,ÈÂèÏ[<ÔÏèÁÚ³èÖÏ]~{s},SABDA,,
letting,ÄáÆÚ{¤ÆİÌÂÛ}~{ing},SABDA,,
level's,×èÂÏ[<×ÌÂÑ]{vib:³Ú},SABDA,,
level,×èÂÏ[<×ÌÂÑ][-]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/level
leveled,×èÂÏ[<×ÌÂÑ]~{ed/en},SABDA,,
levelest,×èÂÏ[<×ÌÂÑ]~{ÂÌ},SABDA,,
leveling,×èÂÏ[<×ÌÂÑ]~{ing},SABDA,,
levelled,×èÂÏ[<×ÌÂÑ]~{ed/en},SABDA,,
levelling,×èÂÏ[<×ÌÂÑ]~{ing},SABDA,,
levels',×èÂÏ[<×ÌÂÑ]{s}{vib:³Ú},SABDA,,
levels,×èÂÏ[<×ÌÂÑ]~{s},SABDA,,
lever's,ÑÛÔÏ{vib:³Ú},SABDA,,
lever,ÑÛÔÏ{0},SABDA,,
levered,ÑÛÔÏ~{ed/en},SABDA,,
levering,ÑÛÔÏ~{ing},SABDA,,
levers',ÑÛÔÏ{s}{vib:³Ú},SABDA,,
levers,ÑÛÔÏ~{s},SABDA,,
levied,¨µÚØÜ~{ed/en},SABDA,,
levies',¨µÚØÜ{s}{vib:³Ú},SABDA,,
levies,¨µÚØÜ~{s},SABDA,,
levy's,¨µÚØÜ{vib:³Ú},SABDA,,
levy,¨µÚØÜ{0},SABDA,,
levying,¨µÚØÜ~{ing},SABDA,,
lexeme,ÕÊèÄÛÌ,Miscelleneous,,
lexicographic,³åÕ~×ÌèÊÅÜ/~³åÖµÂ,Compiler-Design,,
liabilities,ÄáÆÄÚÏÛÍÚ¡,HARI,,
liability,ÄÚÍÛÂèÔ/ÄáÍÂÚ,THAKURDASSJI,,
liason,×¢ÈÏè³,THAKURDASSJI,,
liberal's,¨ÄÚÏ{vib:³Ú},SABDA,,
liberal,¨ÄÚÏ[-],SABDA,,
liberalest,¨ÄÚÏ~{ÂÌ},SABDA,,
liberalism's,¨ÄÚÏÔÚÄ{vib:³Ú},SABDA,,
liberalism,¨ÄÚÏÔÚÄ{0},SABDA,,
liberalisms',¨ÄÚÏÔÚÄ{s}{vib:³Ú},SABDA,,
liberalisms,¨ÄÚÏÔÚÄ{s},SABDA,,
liberals',¨ÄÚÏ{s}{vib:³Ú},SABDA,,
liberals,¨ÄÚÏ{s},SABDA,,
liberties',×èÔÂ¢ÂèÏÂÚ{s}{vib:³Ú},SABDA,,
liberties,×èÔÂ¢ÂèÏÂÚ{s},SABDA,,
liberty's,×èÔÂ¢ÂèÏÂÚ{vib:³Ú},SABDA,,
liberty,×èÔÂ¢ÂèÏÂÚ{0},SABDA,,
libraries',Èİ×èÂ³ÚÑÍ{s}{vib:³Ú},SABDA,,
